disease_area,disease,start_year,trial_count
Disorder of endocrine system,Addison's Disease,2006,1
Disorder of endocrine system,Cushing's Syndrome,2006,1
Disorder of endocrine system,Diabetic Nephropathy,2006,1
Disorder of endocrine system,Diabetic Neuropathy,2006,8
Disorder of endocrine system,Gestational Diabetes,2006,29
Disorder of endocrine system,Growth Hormone Deficiency,2006,1
Disorder of endocrine system,Hyperparathyroidism,2006,3
Disorder of endocrine system,Hypogonadism,2006,4
Disorder of endocrine system,Hypoparathyroidism,2006,6
Disorder of endocrine system,Hypothyroidism,2006,3
Disorder of endocrine system,Menopause Symptoms,2006,4
Disorder of endocrine system,Metabolic Syndrome,2006,12
Disorder of endocrine system,Obesity,2006,25
Disorder of endocrine system,Polycystic Ovary Syndrome,2006,4
Disorder of endocrine system,Type 1 Diabetes,2006,12
Disorder of endocrine system,Type 2 Diabetes,2006,42
Disorder of eye,Age-Related Macular Degeneration,2006,11
Disorder of eye,Cataracts,2006,4
Disorder of eye,Conjunctivitis,2006,5
Disorder of eye,Diabetic Macular Edema,2006,4
Disorder of eye,Diabetic Retinopathy,2006,2
Disorder of eye,Glaucoma,2006,11
Disorder of eye,Inherited Retinal Diseases,2006,4
Disorder of eye,Retinal Vein Occlusion,2006,7
Disorder of eye,Uveitis,2006,3
Disorder of haemostatic system,Deep Vein Thrombosis,2006,5
Disorder of haemostatic system,Disseminated Intravascular Coagulation,2006,7
Disorder of haemostatic system,Hemophilia A,2006,6
Disorder of haemostatic system,Hemophilia B,2006,1
Disorder of haemostatic system,Venous Thromboembolism,2006,14
Disorder of immune function,Common Variable Immunodeficiency,2006,1
Disorder of immune function,Food Allergy,2006,1
Disorder of immune function,Graft-versus-Host Disease,2006,6
Disorder of immune function,Lupus Nephritis,2006,2
Disorder of immune function,Organ Transplant Rejection,2006,20
Disorder of immune function,Primary Immunodeficiency,2006,8
Disorder of immune function,Rheumatoid Arthritis,2006,38
Disorder of immune function,Sarcoidosis,2006,8
Disorder of immune function,Severe Combined Immunodeficiency,2006,1
Disorder of immune function,Sjögren's Syndrome,2006,1
Disorder of immune function,Systemic Lupus Erythematosus,2006,3
Disorder of immune function,Systemic Sclerosis,2006,3
Disorder of labour / delivery,Preterm Labor,2006,10
Disorder of skin,Acne,2006,7
Disorder of skin,Alopecia Areata,2006,2
Disorder of skin,Atopic Dermatitis,2006,8
Disorder of skin,Chronic Urticaria,2006,3
Disorder of skin,Hidradenitis Suppurativa,2006,4
Disorder of skin,Pressure Ulcers,2006,1
Disorder of skin,Psoriasis,2006,17
Disorder of skin,Rosacea,2006,12
Disorder of skin,Vitiligo,2006,1
Disorder of skin,Wound Healing,2006,2
Disorder of the genitourinary system,Acute Kidney Injury,2006,4
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2006,8
Disorder of the genitourinary system,Chronic Kidney Disease,2006,15
Disorder of the genitourinary system,End-Stage Renal Disease,2006,5
Disorder of the genitourinary system,Endometriosis,2006,6
Disorder of the genitourinary system,Erectile Dysfunction,2006,7
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2006,1
Disorder of the genitourinary system,IgA Nephropathy,2006,2
Disorder of the genitourinary system,Infertility,2006,8
Disorder of the genitourinary system,Nephrotic Syndrome,2006,1
Disorder of the genitourinary system,Overactive Bladder,2006,10
Disorder of the genitourinary system,Polycystic Kidney Disease,2006,8
Disorder of the genitourinary system,Preeclampsia,2006,2
Disorder of the genitourinary system,Pregnancy Study,2006,6
Disorder of the genitourinary system,Urinary Incontinence,2006,10
Disorder of the genitourinary system,Uterine Fibroids,2006,12
Infection,Clostridium Difficile Infection,2006,5
Infection,Cytomegalovirus,2006,13
Infection,Fungal Infection,2006,12
Infection,HIV/AIDS,2006,63
Infection,Hepatitis B,2006,28
Infection,Hepatitis C,2006,12
Infection,Herpes Simplex Virus,2006,4
Infection,Herpes Zoster,2006,1
Infection,Influenza,2006,18
Infection,Malaria,2006,12
Infection,Osteomyelitis,2006,10
Infection,Pneumonia,2006,2
Infection,Respiratory Syncytial Virus,2006,11
Infection,Sepsis,2006,3
Infection,Sexually Transmitted Infections,2006,3
Infection,Skin and Soft Tissue Infection,2006,13
Infection,Tuberculosis,2006,2
Infection,Urinary Tract Infection,2006,5
Injury,Burns,2006,4
Injury,Trauma,2006,3
Mental illness,Alcohol Use Disorder,2006,17
Mental illness,Anorexia,2006,5
Mental illness,Attention Deficit Hyperactivity Disorder,2006,16
Mental illness,Autism Spectrum Disorder,2006,9
Mental illness,Bipolar Disorder,2006,25
Mental illness,Delirium,2006,4
Mental illness,Eating Disorders,2006,1
Mental illness,Generalized Anxiety Disorder,2006,3
Mental illness,Major Depressive Disorder,2006,44
Mental illness,Obsessive-Compulsive Disorder,2006,11
Mental illness,Opioid Use Disorder,2006,5
Mental illness,Panic Disorder,2006,1
Mental illness,Post-Traumatic Stress Disorder,2006,13
Mental illness,Postpartum Depression,2006,2
Mental illness,Schizophrenia,2006,38
Mental illness,Smoking Cessation,2006,13
Mental illness,Social Anxiety Disorder,2006,16
Mental illness,Substance Use Disorder,2006,23
Musculoskeletal disorder,Ankylosing Spondylitis,2006,4
Musculoskeletal disorder,Bone Fracture,2006,7
Musculoskeletal disorder,Fibromyalgia,2006,12
Musculoskeletal disorder,Gout,2006,4
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,2006,1
Musculoskeletal disorder,Low Back Pain,2006,13
Musculoskeletal disorder,Osteoarthritis,2006,35
Musculoskeletal disorder,Osteoporosis,2006,36
Musculoskeletal disorder,Psoriatic Arthritis,2006,7
Musculoskeletal disorder,Tendinopathy,2006,3
Neoplastic disease,Acute Lymphoblastic Leukemia,2006,15
Neoplastic disease,Acute Myeloid Leukemia,2006,14
Neoplastic disease,Bladder Cancer,2006,16
Neoplastic disease,Brain Tumors,2006,29
Neoplastic disease,Breast Cancer,2006,98
Neoplastic disease,Cancer Immunotherapy,2006,15
Neoplastic disease,Cervical Cancer,2006,18
Neoplastic disease,Cholangiocarcinoma,2006,6
Neoplastic disease,Chronic Lymphocytic Leukemia,2006,6
Neoplastic disease,Chronic Myeloid Leukemia,2006,37
Neoplastic disease,Colorectal Cancer,2006,31
Neoplastic disease,Diffuse Large B-Cell Lymphoma,2006,6
Neoplastic disease,Endometrial Cancer,2006,12
Neoplastic disease,Esophageal Cancer,2006,13
Neoplastic disease,Follicular Lymphoma,2006,7
Neoplastic disease,Gastric Cancer,2006,11
Neoplastic disease,Glioblastoma,2006,21
Neoplastic disease,Head and Neck Cancer,2006,30
Neoplastic disease,Hematologic Malignancies General,2006,9
Neoplastic disease,Hepatocellular Carcinoma,2006,10
Neoplastic disease,Hodgkin Lymphoma,2006,40
Neoplastic disease,Locally Advanced Cancer,2006,16
Neoplastic disease,Mantle Cell Lymphoma,2006,2
Neoplastic disease,Melanoma,2006,20
Neoplastic disease,Mesothelioma,2006,5
Neoplastic disease,Metastatic Disease,2006,19
Neoplastic disease,Multiple Myeloma,2006,21
Neoplastic disease,Myeloproliferative Neoplasms,2006,5
Neoplastic disease,Neuroendocrine Tumors,2006,12
Neoplastic disease,Non-Hodgkin Lymphoma,2006,4
Neoplastic disease,Non-Small Cell Lung Cancer,2006,51
Neoplastic disease,Ovarian Cancer,2006,23
Neoplastic disease,Pancreatic Cancer,2006,32
Neoplastic disease,Prostate Cancer,2006,51
Neoplastic disease,Recurrent Cancer,2006,17
Neoplastic disease,Renal Cell Carcinoma,2006,23
Neoplastic disease,Sarcoma,2006,14
Neoplastic disease,Small Cell Lung Cancer,2006,35
Neoplastic disease,Solid Tumors (Advanced),2006,11
Neoplastic disease,Solid Tumors General,2006,5
Neoplastic disease,Thyroid Cancer,2006,8
Neoplastic disease,Waldenstrom Macroglobulinemia,2006,3
Neurological disorder,Alzheimer's Disease,2006,16
Neurological disorder,Amyotrophic Lateral Sclerosis,2006,5
Neurological disorder,Chronic Inflammatory Demyelinating Polyneuropathy,2006,1
Neurological disorder,Chronic Pain,2006,3
Neurological disorder,Dementia,2006,2
Neurological disorder,Epilepsy,2006,28
Neurological disorder,Essential Tremor,2006,4
Neurological disorder,Guillain-Barré Syndrome,2006,1
Neurological disorder,Huntington's Disease,2006,2
Neurological disorder,Migraine,2006,23
Neurological disorder,Multiple Sclerosis,2006,23
Neurological disorder,Myasthenia Gravis,2006,3
Neurological disorder,Neuropathic Pain,2006,6
Neurological disorder,Parkinson's Disease,2006,26
Neurological disorder,Spinal Cord Injury,2006,10
Neurological disorder,Stroke,2006,20
Neurological disorder,Traumatic Brain Injury,2006,2
Neurological disorder,Trigeminal Neuralgia,2006,4
Procedure,Anesthesia,2006,10
Procedure,Bioequivalence Study,2006,1
Procedure,Blood Transfusion,2006,3
Procedure,Mechanical Ventilation,2006,3
Procedure,Medical Device Study,2006,1
Procedure,Screening,2006,1
Procedure,Surgical Procedures,2006,7
Respiratory disease,Acute Respiratory Distress Syndrome,2006,4
Respiratory disease,Allergic Asthma,2006,12
Respiratory disease,Allergic Rhinitis,2006,16
Respiratory disease,Asthma,2006,42
Respiratory disease,Bronchiectasis,2006,13
Respiratory disease,Chronic Obstructive Pulmonary Disease,2006,27
Respiratory disease,Cystic Fibrosis,2006,12
Respiratory disease,Idiopathic Pulmonary Fibrosis,2006,8
Respiratory disease,Neonatal Respiratory Distress,2006,2
Respiratory disease,Pulmonary Arterial Hypertension,2006,14
Respiratory disease,Pulmonary Embolism,2006,4
Respiratory disease,Severe Asthma,2006,1
Situation with explicit context,Contraception,2006,10
Situation with explicit context,Critical Illness,2006,1
Situation with explicit context,Geriatric Population,2006,4
Situation with explicit context,Healthy Volunteers,2006,27
Situation with explicit context,Pediatric Population,2006,2
Situation with explicit context,Post-Operative Care,2006,4
Situation with explicit context,Preventive Care,2006,3
Situation with explicit context,Vaccination,2006,7
Sleep disorder,Insomnia,2006,14
Sleep disorder,Narcolepsy,2006,1
Sleep disorder,Obstructive Sleep Apnea,2006,9
Sleep disorder,Restless Legs Syndrome,2006,12
Blood disease,Anemia,2007,26
Blood disease,Hemoglobinopathies,2007,1
Blood disease,Immune Thrombocytopenia,2007,6
Blood disease,Myelodysplastic Syndromes,2007,27
Blood disease,Neutropenia,2007,1
Blood disease,Sickle Cell Disease,2007,3
Blood disease,Thalassemia,2007,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2007,8
Cardiovascular disease,Acute Coronary Syndrome,2007,11
Cardiovascular disease,Aortic Stenosis,2007,16
Cardiovascular disease,Atherosclerosis,2007,11
Cardiovascular disease,Atrial Fibrillation,2007,21
Cardiovascular disease,Cardiomyopathy,2007,8
Cardiovascular disease,Coronary Artery Disease,2007,31
Cardiovascular disease,Familial Hypercholesterolemia,2007,25
Cardiovascular disease,Heart Failure,2007,25
Cardiovascular disease,Hyperlipidemia,2007,16
Cardiovascular disease,Hypertension,2007,47
Cardiovascular disease,Mitral Regurgitation,2007,3
Cardiovascular disease,Myocardial Infarction,2007,9
Cardiovascular disease,Peripheral Artery Disease,2007,3
Cardiovascular disease,Shock,2007,1
Cardiovascular disease,Ventricular Arrhythmias,2007,6
Clinical finding,Acute Pain,2007,38
Clinical finding,Edema,2007,6
Clinical finding,Fatigue,2007,2
Clinical finding,Fever,2007,10
Congenital disease,Lysosomal Storage Disorders,2007,12
Disorder of body system,Cachexia,2007,6
Disorder of digestive system,Acute Pancreatitis,2007,5
Disorder of digestive system,Chronic Pancreatitis,2007,16
Disorder of digestive system,Cirrhosis,2007,7
Disorder of digestive system,Constipation,2007,12
Disorder of digestive system,Crohn's Disease,2007,12
Disorder of digestive system,Eosinophilic Esophagitis,2007,12
Disorder of digestive system,Gastroesophageal Reflux Disease,2007,12
Disorder of digestive system,Gastroparesis,2007,2
Disorder of digestive system,Inflammatory Bowel Disease,2007,4
Disorder of digestive system,Irritable Bowel Syndrome,2007,3
Disorder of digestive system,Malnutrition,2007,1
Disorder of digestive system,Nausea and Vomiting,2007,12
Disorder of digestive system,Nonalcoholic Fatty Liver Disease,2007,3
Disorder of digestive system,Peptic Ulcer Disease,2007,16
Disorder of digestive system,Short Bowel Syndrome,2007,5
Disorder of digestive system,Ulcerative Colitis,2007,25
Disorder of ear,Hearing Loss,2007,6
Disorder of ear,Meniere's Disease,2007,3
Disorder of ear,Otitis Media,2007,7
Disorder of endocrine system,Acromegaly,2007,5
Disorder of endocrine system,Addison's Disease,2007,1
Disorder of endocrine system,Cushing's Syndrome,2007,4
Disorder of endocrine system,Diabetic Nephropathy,2007,3
Disorder of endocrine system,Diabetic Neuropathy,2007,7
Disorder of endocrine system,Gestational Diabetes,2007,40
Disorder of endocrine system,Growth Hormone Deficiency,2007,6
Disorder of endocrine system,Hyperparathyroidism,2007,8
Disorder of endocrine system,Hypogonadism,2007,9
Disorder of endocrine system,Hypoparathyroidism,2007,7
Disorder of endocrine system,Menopause Symptoms,2007,10
Disorder of endocrine system,Metabolic Syndrome,2007,18
Disorder of endocrine system,Obesity,2007,41
Disorder of endocrine system,Polycystic Ovary Syndrome,2007,5
Disorder of endocrine system,Type 1 Diabetes,2007,17
Disorder of endocrine system,Type 2 Diabetes,2007,67
Disorder of eye,Age-Related Macular Degeneration,2007,15
Disorder of eye,Cataracts,2007,21
Disorder of eye,Conjunctivitis,2007,15
Disorder of eye,Diabetic Macular Edema,2007,7
Disorder of eye,Diabetic Retinopathy,2007,5
Disorder of eye,Dry Eye Disease,2007,13
Disorder of eye,Glaucoma,2007,32
Disorder of eye,Inherited Retinal Diseases,2007,7
Disorder of eye,Retinal Vein Occlusion,2007,17
Disorder of eye,Uveitis,2007,2
Disorder of haemostatic system,Deep Vein Thrombosis,2007,12
Disorder of haemostatic system,Disseminated Intravascular Coagulation,2007,6
Disorder of haemostatic system,Hemophilia A,2007,3
Disorder of haemostatic system,Hemophilia B,2007,3
Disorder of haemostatic system,Venous Thromboembolism,2007,20
Disorder of immune function,Common Variable Immunodeficiency,2007,2
Disorder of immune function,Food Allergy,2007,2
Disorder of immune function,Graft-versus-Host Disease,2007,7
Disorder of immune function,Lupus Nephritis,2007,3
Disorder of immune function,Organ Transplant Rejection,2007,23
Disorder of immune function,Primary Immunodeficiency,2007,8
Disorder of immune function,Rheumatoid Arthritis,2007,49
Disorder of immune function,Sarcoidosis,2007,5
Disorder of immune function,Severe Combined Immunodeficiency,2007,3
Disorder of immune function,Sjögren's Syndrome,2007,3
Disorder of immune function,Systemic Lupus Erythematosus,2007,4
Disorder of immune function,Systemic Sclerosis,2007,4
Disorder of labour / delivery,Preterm Labor,2007,11
Disorder of skin,Acne,2007,14
Disorder of skin,Alopecia Areata,2007,3
Disorder of skin,Atopic Dermatitis,2007,11
Disorder of skin,Chronic Urticaria,2007,7
Disorder of skin,Hidradenitis Suppurativa,2007,2
Disorder of skin,Psoriasis,2007,37
Disorder of skin,Rosacea,2007,11
Disorder of skin,Vitiligo,2007,1
Disorder of skin,Wound Healing,2007,6
Disorder of the genitourinary system,Acute Kidney Injury,2007,2
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2007,7
Disorder of the genitourinary system,Chronic Kidney Disease,2007,19
Disorder of the genitourinary system,End-Stage Renal Disease,2007,7
Disorder of the genitourinary system,Endometriosis,2007,13
Disorder of the genitourinary system,Erectile Dysfunction,2007,11
Disorder of the genitourinary system,IgA Nephropathy,2007,1
Disorder of the genitourinary system,Infertility,2007,10
Disorder of the genitourinary system,Interstitial Cystitis,2007,3
Disorder of the genitourinary system,Nephrotic Syndrome,2007,5
Disorder of the genitourinary system,Overactive Bladder,2007,15
Disorder of the genitourinary system,Polycystic Kidney Disease,2007,2
Disorder of the genitourinary system,Pregnancy Study,2007,6
Disorder of the genitourinary system,Urinary Incontinence,2007,13
Disorder of the genitourinary system,Uterine Fibroids,2007,3
Infection,COVID-19,2007,1
Infection,Clostridium Difficile Infection,2007,1
Infection,Cytomegalovirus,2007,12
Infection,Fungal Infection,2007,20
Infection,HIV/AIDS,2007,58
Infection,Helicobacter Pylori,2007,2
Infection,Hepatitis B,2007,18
Infection,Hepatitis C,2007,40
Infection,Herpes Simplex Virus,2007,8
Infection,Herpes Zoster,2007,13
Infection,Influenza,2007,46
Infection,Malaria,2007,13
Infection,Osteomyelitis,2007,13
Infection,Pneumonia,2007,17
Infection,Respiratory Syncytial Virus,2007,20
Infection,Sepsis,2007,8
Infection,Sexually Transmitted Infections,2007,1
Infection,Skin and Soft Tissue Infection,2007,21
Infection,Tuberculosis,2007,5
Infection,Urinary Tract Infection,2007,13
Injury,Burns,2007,5
Injury,Trauma,2007,7
Mental illness,Alcohol Use Disorder,2007,17
Mental illness,Anorexia,2007,5
Mental illness,Attention Deficit Hyperactivity Disorder,2007,28
Mental illness,Autism Spectrum Disorder,2007,7
Mental illness,Bipolar Disorder,2007,28
Mental illness,Delirium,2007,1
Mental illness,Eating Disorders,2007,2
Mental illness,Generalized Anxiety Disorder,2007,1
Mental illness,Major Depressive Disorder,2007,50
Mental illness,Obsessive-Compulsive Disorder,2007,3
Mental illness,Opioid Use Disorder,2007,13
Mental illness,Panic Disorder,2007,4
Mental illness,Post-Traumatic Stress Disorder,2007,9
Mental illness,Postpartum Depression,2007,3
Mental illness,Schizophrenia,2007,47
Mental illness,Smoking Cessation,2007,21
Mental illness,Social Anxiety Disorder,2007,7
Mental illness,Substance Use Disorder,2007,22
Musculoskeletal disorder,Ankylosing Spondylitis,2007,4
Musculoskeletal disorder,Bone Fracture,2007,8
Musculoskeletal disorder,Fibromyalgia,2007,14
Musculoskeletal disorder,Gout,2007,6
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,2007,3
Musculoskeletal disorder,Low Back Pain,2007,18
Musculoskeletal disorder,Osteoarthritis,2007,35
Musculoskeletal disorder,Osteoporosis,2007,32
Musculoskeletal disorder,Psoriatic Arthritis,2007,3
Musculoskeletal disorder,Tendinopathy,2007,10
Neoplastic disease,Acute Lymphoblastic Leukemia,2007,18
Neoplastic disease,Acute Myeloid Leukemia,2007,18
Neoplastic disease,Bladder Cancer,2007,15
Neoplastic disease,Brain Tumors,2007,31
Neoplastic disease,Breast Cancer,2007,102
Neoplastic disease,Cancer Immunotherapy,2007,16
Neoplastic disease,Cancer Supportive Care,2007,2
Neoplastic disease,Cervical Cancer,2007,24
Neoplastic disease,Cholangiocarcinoma,2007,4
Neoplastic disease,Chronic Lymphocytic Leukemia,2007,7
Neoplastic disease,Chronic Myeloid Leukemia,2007,34
Neoplastic disease,Colorectal Cancer,2007,34
Neoplastic disease,Diffuse Large B-Cell Lymphoma,2007,10
Neoplastic disease,Endometrial Cancer,2007,15
Neoplastic disease,Esophageal Cancer,2007,7
Neoplastic disease,Follicular Lymphoma,2007,11
Neoplastic disease,Gastric Cancer,2007,7
Neoplastic disease,Glioblastoma,2007,35
Neoplastic disease,Head and Neck Cancer,2007,29
Neoplastic disease,Hematologic Malignancies General,2007,3
Neoplastic disease,Hepatocellular Carcinoma,2007,19
Neoplastic disease,Hodgkin Lymphoma,2007,27
Neoplastic disease,Locally Advanced Cancer,2007,19
Neoplastic disease,Mantle Cell Lymphoma,2007,6
Neoplastic disease,Melanoma,2007,29
Neoplastic disease,Mesothelioma,2007,6
Neoplastic disease,Metastatic Disease,2007,21
Neoplastic disease,Multiple Myeloma,2007,36
Neoplastic disease,Myeloproliferative Neoplasms,2007,4
Neoplastic disease,Neuroendocrine Tumors,2007,12
Neoplastic disease,Non-Hodgkin Lymphoma,2007,2
Neoplastic disease,Non-Small Cell Lung Cancer,2007,51
Neoplastic disease,Ovarian Cancer,2007,25
Neoplastic disease,Pancreatic Cancer,2007,28
Neoplastic disease,Prostate Cancer,2007,57
Neoplastic disease,Recurrent Cancer,2007,23
Neoplastic disease,Renal Cell Carcinoma,2007,29
Neoplastic disease,Sarcoma,2007,14
Neoplastic disease,Small Cell Lung Cancer,2007,30
Neoplastic disease,Solid Tumors (Advanced),2007,5
Neoplastic disease,Solid Tumors General,2007,4
Neoplastic disease,Thyroid Cancer,2007,5
Neoplastic disease,Waldenstrom Macroglobulinemia,2007,3
Neurological disorder,Alzheimer's Disease,2007,37
Neurological disorder,Amyotrophic Lateral Sclerosis,2007,3
Neurological disorder,Chronic Pain,2007,4
Neurological disorder,Dementia,2007,3
Neurological disorder,Duchenne Muscular Dystrophy,2007,5
Neurological disorder,Epilepsy,2007,35
Neurological disorder,Essential Tremor,2007,6
Neurological disorder,Guillain-Barré Syndrome,2007,1
Neurological disorder,Migraine,2007,19
Neurological disorder,Multiple Sclerosis,2007,21
Neurological disorder,Myasthenia Gravis,2007,3
Neurological disorder,Neuropathic Pain,2007,2
Neurological disorder,Parkinson's Disease,2007,36
Neurological disorder,Spinal Cord Injury,2007,6
Neurological disorder,Spinal Muscular Atrophy,2007,9
Neurological disorder,Stroke,2007,17
Neurological disorder,Traumatic Brain Injury,2007,4
Neurological disorder,Trigeminal Neuralgia,2007,15
Procedure,Anesthesia,2007,5
Procedure,Blood Transfusion,2007,6
Procedure,Mechanical Ventilation,2007,6
Procedure,Medical Device Study,2007,3
Procedure,Surgical Procedures,2007,6
Respiratory disease,Acute Respiratory Distress Syndrome,2007,7
Respiratory disease,Allergic Asthma,2007,13
Respiratory disease,Allergic Rhinitis,2007,21
Respiratory disease,Asthma,2007,56
Respiratory disease,Bronchiectasis,2007,9
Respiratory disease,Chronic Obstructive Pulmonary Disease,2007,43
Respiratory disease,Cystic Fibrosis,2007,14
Respiratory disease,Idiopathic Pulmonary Fibrosis,2007,5
Respiratory disease,Neonatal Respiratory Distress,2007,6
Respiratory disease,Pulmonary Arterial Hypertension,2007,6
Respiratory disease,Pulmonary Embolism,2007,3
Respiratory disease,Severe Asthma,2007,1
Situation with explicit context,Contraception,2007,17
Situation with explicit context,Critical Illness,2007,2
Situation with explicit context,Drug-Drug Interaction,2007,8
Situation with explicit context,Geriatric Population,2007,5
Situation with explicit context,Healthy Volunteers,2007,61
Situation with explicit context,Pediatric Population,2007,1
Situation with explicit context,Post-Operative Care,2007,10
Situation with explicit context,Preventive Care,2007,2
Situation with explicit context,Vaccination,2007,8
Sleep disorder,Insomnia,2007,18
Sleep disorder,Narcolepsy,2007,2
Sleep disorder,Obstructive Sleep Apnea,2007,10
Sleep disorder,Restless Legs Syndrome,2007,8
Blood disease,Anemia,2008,29
Blood disease,Immune Thrombocytopenia,2008,3
Blood disease,Myelodysplastic Syndromes,2008,18
Blood disease,Neutropenia,2008,4
Blood disease,Sickle Cell Disease,2008,7
Blood disease,Thalassemia,2008,3
Blood disease,Thrombotic Thrombocytopenic Purpura,2008,5
Cardiovascular disease,Acute Coronary Syndrome,2008,10
Cardiovascular disease,Aortic Stenosis,2008,18
Cardiovascular disease,Atherosclerosis,2008,15
Cardiovascular disease,Atrial Fibrillation,2008,14
Cardiovascular disease,Cardiomyopathy,2008,8
Cardiovascular disease,Coronary Artery Disease,2008,34
Cardiovascular disease,Familial Hypercholesterolemia,2008,14
Cardiovascular disease,Heart Failure,2008,36
Cardiovascular disease,Hyperlipidemia,2008,14
Cardiovascular disease,Hypertension,2008,67
Cardiovascular disease,Mitral Regurgitation,2008,5
Cardiovascular disease,Myocardial Infarction,2008,13
Cardiovascular disease,Peripheral Artery Disease,2008,9
Cardiovascular disease,Shock,2008,2
Cardiovascular disease,Ventricular Arrhythmias,2008,5
Clinical finding,Acute Pain,2008,60
Clinical finding,Edema,2008,6
Clinical finding,Fatigue,2008,4
Clinical finding,Fever,2008,7
Congenital disease,Lysosomal Storage Disorders,2008,13
Congenital disease,Phenylketonuria,2008,3
Disorder of body system,Cachexia,2008,2
Disorder of digestive system,Acute Pancreatitis,2008,4
Disorder of digestive system,Celiac Disease,2008,2
Disorder of digestive system,Chronic Pancreatitis,2008,12
Disorder of digestive system,Cirrhosis,2008,5
Disorder of digestive system,Constipation,2008,10
Disorder of digestive system,Crohn's Disease,2008,13
Disorder of digestive system,Eosinophilic Esophagitis,2008,15
Disorder of digestive system,Gastroesophageal Reflux Disease,2008,15
Disorder of digestive system,Gastroparesis,2008,7
Disorder of digestive system,Inflammatory Bowel Disease,2008,8
Disorder of digestive system,Irritable Bowel Syndrome,2008,8
Disorder of digestive system,Malnutrition,2008,2
Disorder of digestive system,Nausea and Vomiting,2008,13
Disorder of digestive system,Nonalcoholic Fatty Liver Disease,2008,12
Disorder of digestive system,Peptic Ulcer Disease,2008,9
Disorder of digestive system,Short Bowel Syndrome,2008,5
Disorder of digestive system,Ulcerative Colitis,2008,16
Disorder of ear,Hearing Loss,2008,7
Disorder of ear,Meniere's Disease,2008,3
Disorder of ear,Otitis Media,2008,6
Disorder of ear,Tinnitus,2008,3
Disorder of endocrine system,Acromegaly,2008,7
Disorder of endocrine system,Cushing's Syndrome,2008,1
Disorder of endocrine system,Diabetic Nephropathy,2008,4
Disorder of endocrine system,Diabetic Neuropathy,2008,11
Disorder of endocrine system,Gestational Diabetes,2008,65
Disorder of endocrine system,Growth Hormone Deficiency,2008,3
Disorder of endocrine system,Hyperparathyroidism,2008,6
Disorder of endocrine system,Hypogonadism,2008,4
Disorder of endocrine system,Hypoparathyroidism,2008,8
Disorder of endocrine system,Hypothyroidism,2008,2
Disorder of endocrine system,Menopause Symptoms,2008,9
Disorder of endocrine system,Metabolic Syndrome,2008,14
Disorder of endocrine system,Obesity,2008,43
Disorder of endocrine system,Polycystic Ovary Syndrome,2008,6
Disorder of endocrine system,Type 1 Diabetes,2008,24
Disorder of endocrine system,Type 2 Diabetes,2008,114
Disorder of eye,Age-Related Macular Degeneration,2008,13
Disorder of eye,Cataracts,2008,20
Disorder of eye,Conjunctivitis,2008,15
Disorder of eye,Diabetic Macular Edema,2008,6
Disorder of eye,Diabetic Retinopathy,2008,11
Disorder of eye,Dry Eye Disease,2008,13
Disorder of eye,Glaucoma,2008,40
Disorder of eye,Inherited Retinal Diseases,2008,9
Disorder of eye,Retinal Vein Occlusion,2008,12
Disorder of eye,Uveitis,2008,3
Disorder of haemostatic system,Deep Vein Thrombosis,2008,5
Disorder of haemostatic system,Disseminated Intravascular Coagulation,2008,6
Disorder of haemostatic system,Hemophilia A,2008,6
Disorder of haemostatic system,Hemophilia B,2008,3
Disorder of haemostatic system,Venous Thromboembolism,2008,19
Disorder of haemostatic system,Von Willebrand Disease,2008,3
Disorder of immune function,Common Variable Immunodeficiency,2008,1
Disorder of immune function,Food Allergy,2008,3
Disorder of immune function,Graft-versus-Host Disease,2008,8
Disorder of immune function,Lupus Nephritis,2008,5
Disorder of immune function,Organ Transplant Rejection,2008,24
Disorder of immune function,Primary Immunodeficiency,2008,7
Disorder of immune function,Rheumatoid Arthritis,2008,51
Disorder of immune function,Sarcoidosis,2008,7
Disorder of immune function,Severe Combined Immunodeficiency,2008,2
Disorder of immune function,Sjögren's Syndrome,2008,2
Disorder of immune function,Systemic Lupus Erythematosus,2008,7
Disorder of immune function,Systemic Sclerosis,2008,3
Disorder of labour / delivery,Preterm Labor,2008,15
Disorder of skin,Acne,2008,19
Disorder of skin,Alopecia Areata,2008,1
Disorder of skin,Atopic Dermatitis,2008,28
Disorder of skin,Chronic Urticaria,2008,1
Disorder of skin,Hidradenitis Suppurativa,2008,4
Disorder of skin,Pressure Ulcers,2008,2
Disorder of skin,Psoriasis,2008,47
Disorder of skin,Rosacea,2008,9
Disorder of skin,Vitiligo,2008,7
Disorder of skin,Wound Healing,2008,12
Disorder of the genitourinary system,Acute Kidney Injury,2008,2
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2008,4
Disorder of the genitourinary system,Chronic Kidney Disease,2008,22
Disorder of the genitourinary system,End-Stage Renal Disease,2008,14
Disorder of the genitourinary system,Endometriosis,2008,6
Disorder of the genitourinary system,Erectile Dysfunction,2008,12
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2008,1
