disease_area,disease,trial_count
Mental illness,Delirium,132
Infection,Sexually Transmitted Infections,131
Clinical finding,Edema,128
Neoplastic disease,Thyroid Cancer,128
Neoplastic disease,Cholangiocarcinoma,127
Cardiovascular disease,Cardiomyopathy,126
Disorder of endocrine system,Hypogonadism,126
Disorder of endocrine system,Menopause Symptoms,125
Disorder of endocrine system,Diabetic Neuropathy,124
Disorder of eye,Diabetic Retinopathy,124
Infection,Clostridium Difficile Infection,124
Disorder of skin,Alopecia Areata,120
Disorder of digestive system,Peptic Ulcer Disease,119
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,118
Mental illness,Anorexia,117
Neurological disorder,Neuropathic Pain,114
Disorder of the genitourinary system,Acute Kidney Injury,110
Neoplastic disease,Non-Hodgkin Lymphoma,108
Disorder of digestive system,Irritable Bowel Syndrome,106
Disorder of the genitourinary system,Nephrotic Syndrome,106
Disorder of the genitourinary system,Uterine Fibroids,105
Situation with explicit context,Vaccination,105
Neoplastic disease,Myeloproliferative Neoplasms,104
Disorder of haemostatic system,Disseminated Intravascular Coagulation,102
Blood disease,Thrombotic Thrombocytopenic Purpura,101
Disorder of digestive system,Inflammatory Bowel Disease,101
Disorder of haemostatic system,Deep Vein Thrombosis,101
Disorder of eye,Uveitis,100
Neoplastic disease,Mantle Cell Lymphoma,100
Disorder of ear,Meniere's Disease,98
Disorder of ear,Otitis Media,97
Cardiovascular disease,Mitral Regurgitation,94
Infection,Herpes Zoster,92
Disorder of immune function,Food Allergy,91
Disorder of immune function,Lupus Nephritis,91
Disorder of immune function,Systemic Sclerosis,88
Neoplastic disease,Mesothelioma,87
Injury,Burns,86
Disorder of endocrine system,Polycystic Ovary Syndrome,85
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,85
Clinical finding,Fatigue,83
Disorder of the genitourinary system,Interstitial Cystitis,82
Disorder of the genitourinary system,IgA Nephropathy,80
Sleep disorder,Narcolepsy,79
Neoplastic disease,Waldenstrom Macroglobulinemia,78
Disorder of endocrine system,Growth Hormone Deficiency,77
Disorder of digestive system,Malnutrition,76
Disorder of haemostatic system,Hemophilia B,76
Blood disease,Immune Thrombocytopenia,74
Situation with explicit context,Critical Illness,74
Cardiovascular disease,Shock,73
Disorder of immune function,Sjögren's Syndrome,73
Disorder of endocrine system,Acromegaly,72
Congenital disease,Phenylketonuria,69
Disorder of endocrine system,Diabetic Nephropathy,69
Procedure,Screening,69
Respiratory disease,Pulmonary Embolism,68
Sleep disorder,Restless Legs Syndrome,67
Disorder of endocrine system,Cushing's Syndrome,65
Mental illness,Generalized Anxiety Disorder,63
Disorder of the genitourinary system,Polycystic Kidney Disease,61
Disorder of the genitourinary system,Preeclampsia,61
Procedure,Radiation Oncology,61
Disorder of digestive system,Celiac Disease,58
Injury,Overdose,55
Neurological disorder,Huntington's Disease,55
Procedure,Bioequivalence Study,52
Disorder of ear,Tinnitus,51
Disorder of body system,Cachexia,50
Disorder of body system,Multiple Organ Failure,50
Disorder of skin,Pressure Ulcers,49
Blood disease,Neutropenia,47
Neoplastic disease,Cancer Supportive Care,45
Infection,Helicobacter Pylori,44
Neurological disorder,Chronic Inflammatory Demyelinating Polyneuropathy,44
Disorder of immune function,Severe Combined Immunodeficiency,43
Disorder of immune function,Vasculitis,43
Neurological disorder,Guillain-Barré Syndrome,43
Blood disease,Thalassemia,40
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,40
Respiratory disease,Severe Asthma,35
Disorder of immune function,Common Variable Immunodeficiency,33
Disorder of endocrine system,Hypothyroidism,25
Disorder of endocrine system,Addison's Disease,21
Disorder of endocrine system,Hyperthyroidism,19
Mental illness,Panic Disorder,19
Disorder of haemostatic system,Von Willebrand Disease,17
Blood disease,Hemoglobinopathies,12
