outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
AUC(0-T),2011-2015,9,19618,0.0459
AUC(0-T),2016-2020,16,22670,0.0706
AUC(0-T),2021-2025,14,18711,0.0748
AUC0-LAST,2006-2010,3,10330,0.0290
AUC0-LAST,2011-2015,10,19618,0.0510
AUC0-LAST,2016-2020,30,22670,0.1323
AUC0-LAST,2021-2025,27,18711,0.1443
AUC0-TZ,2006-2010,3,10330,0.0290
AUC0-TZ,2011-2015,13,19618,0.0663
AUC0-TZ,2016-2020,24,22670,0.1059
AUC0-TZ,2021-2025,8,18711,0.0428
AUCINF,2006-2010,2,10330,0.0194
AUCINF,2011-2015,7,19618,0.0357
AUCINF,2016-2020,22,22670,0.0970
AUCINF,2021-2025,19,18711,0.1015
AUCTAU,2006-2010,9,10330,0.0871
AUCTAU,2011-2015,21,19618,0.1070
AUCTAU,2016-2020,34,22670,0.1500
AUCTAU,2021-2025,27,18711,0.1443
AUC∞,2011-2015,8,19618,0.0408
AUC∞,2016-2020,66,22670,0.2911
AUC∞,2021-2025,8,18711,0.0428
AVERAGE PAIN SCORE,2006-2010,5,10330,0.0484
AVERAGE PAIN SCORE,2011-2015,8,19618,0.0408
AVERAGE PAIN SCORE,2016-2020,24,22670,0.1059
AVERAGE PAIN SCORE,2021-2025,24,18711,0.1283
AVERAGE PLASMA CONCENTRATION,2006-2010,2,10330,0.0194
AVERAGE PLASMA CONCENTRATION,2011-2015,17,19618,0.0867
AVERAGE PLASMA CONCENTRATION,2016-2020,11,22670,0.0485
AVERAGE PLASMA CONCENTRATION,2021-2025,11,18711,0.0588
BECK DEPRESSION INVENTORY SCORE,2006-2010,6,10330,0.0581
BECK DEPRESSION INVENTORY SCORE,2011-2015,17,19618,0.0867
BECK DEPRESSION INVENTORY SCORE,2016-2020,24,22670,0.1059
BECK DEPRESSION INVENTORY SCORE,2021-2025,10,18711,0.0534
BEST OVERALL RESPONSE RATE,2006-2010,13,10330,0.1258
BEST OVERALL RESPONSE RATE,2011-2015,33,19618,0.1682
BEST OVERALL RESPONSE RATE,2016-2020,40,22670,0.1764
BEST OVERALL RESPONSE RATE,2021-2025,48,18711,0.2565
BODY MASS INDEX,2006-2010,2,10330,0.0194
BODY MASS INDEX,2011-2015,20,19618,0.1019
BODY MASS INDEX,2016-2020,30,22670,0.1323
BODY MASS INDEX,2021-2025,32,18711,0.1710
CARDIOVASCULAR MORTALITY,2006-2010,7,10330,0.0678
CARDIOVASCULAR MORTALITY,2011-2015,31,19618,0.1580
CARDIOVASCULAR MORTALITY,2016-2020,43,22670,0.1897
CARDIOVASCULAR MORTALITY,2021-2025,34,18711,0.1817
CHANGE FROM BASELINE IN BCVA,2006-2010,2,10330,0.0194
CHANGE FROM BASELINE IN BCVA,2011-2015,17,19618,0.0867
CHANGE FROM BASELINE IN BCVA,2016-2020,7,22670,0.0309
CHANGE FROM BASELINE IN BCVA,2021-2025,19,18711,0.1015
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,2006-2010,7,10330,0.0678
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,2011-2015,23,19618,0.1172
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,2016-2020,17,22670,0.0750
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,2021-2025,11,18711,0.0588
CHANGE FROM BASELINE IN BLOOD PRESSURE,2006-2010,15,10330,0.1452
CHANGE FROM BASELINE IN BLOOD PRESSURE,2011-2015,28,19618,0.1427
CHANGE FROM BASELINE IN BLOOD PRESSURE,2016-2020,76,22670,0.3352
CHANGE FROM BASELINE IN BLOOD PRESSURE,2021-2025,25,18711,0.1336
CHANGE FROM BASELINE IN BODY TEMPERATURE,2011-2015,7,19618,0.0357
CHANGE FROM BASELINE IN BODY TEMPERATURE,2016-2020,38,22670,0.1676
CHANGE FROM BASELINE IN BODY TEMPERATURE,2021-2025,7,18711,0.0374
CHANGE FROM BASELINE IN BODY WEIGHT,2006-2010,12,10330,0.1162
CHANGE FROM BASELINE IN BODY WEIGHT,2011-2015,16,19618,0.0816
CHANGE FROM BASELINE IN BODY WEIGHT,2016-2020,11,22670,0.0485
CHANGE FROM BASELINE IN BODY WEIGHT,2021-2025,6,18711,0.0321
CHANGE FROM BASELINE IN CGI-S SCORE,2006-2010,30,10330,0.2904
CHANGE FROM BASELINE IN CGI-S SCORE,2011-2015,18,19618,0.0918
CHANGE FROM BASELINE IN CGI-S SCORE,2016-2020,22,22670,0.0970
CHANGE FROM BASELINE IN CGI-S SCORE,2021-2025,24,18711,0.1283
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,2006-2010,5,10330,0.0484
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,2011-2015,2,19618,0.0102
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,2016-2020,30,22670,0.1323
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,2021-2025,18,18711,0.0962
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,2006-2010,14,10330,0.1355
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,2011-2015,22,19618,0.1121
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,2016-2020,26,22670,0.1147
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,2021-2025,18,18711,0.0962
CHANGE FROM BASELINE IN ECG PARAMETERS,2006-2010,8,10330,0.0774
CHANGE FROM BASELINE IN ECG PARAMETERS,2011-2015,9,19618,0.0459
CHANGE FROM BASELINE IN ECG PARAMETERS,2016-2020,34,22670,0.1500
CHANGE FROM BASELINE IN ECG PARAMETERS,2021-2025,18,18711,0.0962
CHANGE FROM BASELINE IN ERYTHROCYTES,2006-2010,1,10330,0.0097
CHANGE FROM BASELINE IN ERYTHROCYTES,2011-2015,2,19618,0.0102
CHANGE FROM BASELINE IN ERYTHROCYTES,2016-2020,37,22670,0.1632
CHANGE FROM BASELINE IN ERYTHROCYTES,2021-2025,22,18711,0.1176
CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,2006-2010,9,10330,0.0871
CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,2011-2015,23,19618,0.1172
CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,2016-2020,11,22670,0.0485
CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,2021-2025,2,18711,0.0107
CHANGE FROM BASELINE IN FEV1,2006-2010,41,10330,0.3969
CHANGE FROM BASELINE IN FEV1,2011-2015,71,19618,0.3619
CHANGE FROM BASELINE IN FEV1,2016-2020,48,22670,0.2117
CHANGE FROM BASELINE IN FEV1,2021-2025,28,18711,0.1496
CHANGE FROM BASELINE IN HEART RATE,2006-2010,8,10330,0.0774
CHANGE FROM BASELINE IN HEART RATE,2011-2015,18,19618,0.0918
CHANGE FROM BASELINE IN HEART RATE,2016-2020,24,22670,0.1059
CHANGE FROM BASELINE IN HEART RATE,2021-2025,7,18711,0.0374
CHANGE FROM BASELINE IN HEIGHT,2006-2010,6,10330,0.0581
CHANGE FROM BASELINE IN HEIGHT,2011-2015,8,19618,0.0408
CHANGE FROM BASELINE IN HEIGHT,2016-2020,16,22670,0.0706
CHANGE FROM BASELINE IN HEIGHT,2021-2025,11,18711,0.0588
CHANGE FROM BASELINE IN HEMATOCRIT,2006-2010,18,10330,0.1742
