outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
DEPRESSION RESPONSE RATE,Phase 2,28,17715,0.1581
DEPRESSION RESPONSE RATE,Phase 3,30,12737,0.2355
DEPRESSION RESPONSE RATE,Phase 4,23,7428,0.3096
DEPRESSION SCORE,Phase 2,1,17715,0.0056
DEPRESSION SCORE,Phase 3,4,12737,0.0314
DEPRESSION SCORE,Phase 4,4,7428,0.0539
DEPRESSIVE SYMPTOMS,Phase 1,1,5382,0.0186
DEPRESSIVE SYMPTOMS,Phase 2,6,17715,0.0339
DEPRESSIVE SYMPTOMS,Phase 3,2,12737,0.0157
DEPRESSIVE SYMPTOMS,Phase 4,1,7428,0.0135
DEVICE SUCCESS,Phase 2,2,17715,0.0113
DEVICE SUCCESS,Phase 3,4,12737,0.0314
DEVICE SUCCESS,Phase 4,2,7428,0.0269
DIASTOLIC BLOOD PRESSURE,Phase 1,9,5382,0.1672
DIASTOLIC BLOOD PRESSURE,Phase 2,41,17715,0.2314
DIASTOLIC BLOOD PRESSURE,Phase 3,19,12737,0.1492
DIASTOLIC BLOOD PRESSURE,Phase 4,17,7428,0.2289
DISEASE CONTROL RATE,Phase 1,124,5382,2.3040
DISEASE CONTROL RATE,Phase 2,558,17715,3.1499
DISEASE CONTROL RATE,Phase 3,164,12737,1.2876
DISEASE CONTROL RATE,Phase 4,9,7428,0.1212
DISEASE-FREE SURVIVAL,Phase 1,8,5382,0.1486
DISEASE-FREE SURVIVAL,Phase 2,219,17715,1.2362
DISEASE-FREE SURVIVAL,Phase 3,162,12737,1.2719
DISEASE-FREE SURVIVAL,Phase 4,4,7428,0.0539
DOSE-LIMITING TOXICITIES,Phase 1,167,5382,3.1029
DOSE-LIMITING TOXICITIES,Phase 2,55,17715,0.3105
DOSE-LIMITING TOXICITIES,Phase 3,9,12737,0.0707
DOSE-LIMITING TOXICITY,Phase 1,31,5382,0.5760
DOSE-LIMITING TOXICITY,Phase 2,20,17715,0.1129
DRUG-RELATED ADVERSE EVENTS,Phase 1,7,5382,0.1301
DRUG-RELATED ADVERSE EVENTS,Phase 2,17,17715,0.0960
DRUG-RELATED ADVERSE EVENTS,Phase 3,8,12737,0.0628
DRUG-RELATED ADVERSE EVENTS,Phase 4,5,7428,0.0673
DURATION OF COMPLETE RESPONSE,Phase 1,3,5382,0.0557
DURATION OF COMPLETE RESPONSE,Phase 2,18,17715,0.1016
DURATION OF COMPLETE RESPONSE,Phase 3,13,12737,0.1021
DURATION OF DISEASE CONTROL,Phase 1,8,5382,0.1486
DURATION OF DISEASE CONTROL,Phase 2,14,17715,0.0790
DURATION OF DISEASE CONTROL,Phase 3,8,12737,0.0628
DURATION OF DISEASE CONTROL,Phase 4,1,7428,0.0135
DURATION OF HOSPITAL STAY,Phase 1,1,5382,0.0186
DURATION OF HOSPITAL STAY,Phase 2,8,17715,0.0452
DURATION OF HOSPITAL STAY,Phase 3,7,12737,0.0550
DURATION OF HOSPITAL STAY,Phase 4,11,7428,0.1481
DURATION OF HOSPITALIZATION,Phase 1,2,5382,0.0372
DURATION OF HOSPITALIZATION,Phase 2,29,17715,0.1637
DURATION OF HOSPITALIZATION,Phase 3,18,12737,0.1413
DURATION OF HOSPITALIZATION,Phase 4,5,7428,0.0673
DURATION OF MECHANICAL VENTILATION,Phase 2,13,17715,0.0734
DURATION OF MECHANICAL VENTILATION,Phase 3,12,12737,0.0942
DURATION OF MECHANICAL VENTILATION,Phase 4,4,7428,0.0539
DURATION OF OBJECTIVE RESPONSE,Phase 1,13,5382,0.2415
DURATION OF OBJECTIVE RESPONSE,Phase 2,34,17715,0.1919
DURATION OF OBJECTIVE RESPONSE,Phase 3,18,12737,0.1413
DURATION OF OBJECTIVE RESPONSE,Phase 4,1,7428,0.0135
DURATION OF RESPONSE,Phase 1,223,5382,4.1434
DURATION OF RESPONSE,Phase 2,1169,17715,6.5989
DURATION OF RESPONSE,Phase 3,510,12737,4.0041
DURATION OF RESPONSE,Phase 4,38,7428,0.5116
DURATION OF STABLE DISEASE,Phase 1,11,5382,0.2044
DURATION OF STABLE DISEASE,Phase 2,42,17715,0.2371
DURATION OF STABLE DISEASE,Phase 3,6,12737,0.0471
DURATION OF TREATMENT,Phase 1,2,5382,0.0372
DURATION OF TREATMENT,Phase 2,3,17715,0.0169
DURATION OF TREATMENT,Phase 3,7,12737,0.0550
DURATION OF TREATMENT,Phase 4,2,7428,0.0269
DYSPNEA SCORE,Phase 2,20,17715,0.1129
DYSPNEA SCORE,Phase 3,17,12737,0.1335
DYSPNEA SCORE,Phase 4,8,7428,0.1077
EASI 75 RESPONSE,Phase 1,2,5382,0.0372
EASI 75 RESPONSE,Phase 2,49,17715,0.2766
EASI 75 RESPONSE,Phase 3,62,12737,0.4868
EASI 75 RESPONSE,Phase 4,2,7428,0.0269
ELIMINATION HALF-LIFE,Phase 1,49,5382,0.9104
ELIMINATION HALF-LIFE,Phase 2,32,17715,0.1806
ELIMINATION HALF-LIFE,Phase 3,14,12737,0.1099
ELIMINATION HALF-LIFE,Phase 4,6,7428,0.0808
ELIMINATION RATE CONSTANT,Phase 1,64,5382,1.1891
ELIMINATION RATE CONSTANT,Phase 2,10,17715,0.0564
ELIMINATION RATE CONSTANT,Phase 3,8,12737,0.0628
ELIMINATION RATE CONSTANT,Phase 4,4,7428,0.0539
EMERGENCY ROOM VISITS,Phase 2,3,17715,0.0169
EMERGENCY ROOM VISITS,Phase 3,15,12737,0.1178
EMERGENCY ROOM VISITS,Phase 4,6,7428,0.0808
ENDOSCOPIC REMISSION,Phase 2,26,17715,0.1468
ENDOSCOPIC REMISSION,Phase 3,37,12737,0.2905
ENDOSCOPIC REMISSION,Phase 4,3,7428,0.0404
ESTIMATED BLOOD LOSS,Phase 1,1,5382,0.0186
ESTIMATED BLOOD LOSS,Phase 2,5,17715,0.0282
ESTIMATED BLOOD LOSS,Phase 3,7,12737,0.0550
ESTIMATED BLOOD LOSS,Phase 4,16,7428,0.2154
EULAR RESPONSE RATE,Phase 2,8,17715,0.0452
EULAR RESPONSE RATE,Phase 3,23,12737,0.1806
EULAR RESPONSE RATE,Phase 4,4,7428,0.0539
EVENT-FREE SURVIVAL,Phase 1,16,5382,0.2973
EVENT-FREE SURVIVAL,Phase 2,217,17715,1.2250
EVENT-FREE SURVIVAL,Phase 3,161,12737,1.2640
EVENT-FREE SURVIVAL,Phase 4,8,7428,0.1077
FATIGUE,Phase 1,4,5382,0.0743
FATIGUE,Phase 2,30,17715,0.1693
FATIGUE,Phase 3,15,12737,0.1178
FATIGUE,Phase 4,18,7428,0.2423
FORCED EXPIRATORY VOLUME IN 1 SECOND (FEV1),Phase 1,1,5382,0.0186
FORCED EXPIRATORY VOLUME IN 1 SECOND (FEV1),Phase 2,25,17715,0.1411
FORCED EXPIRATORY VOLUME IN 1 SECOND (FEV1),Phase 3,22,12737,0.1727
FORCED EXPIRATORY VOLUME IN 1 SECOND (FEV1),Phase 4,13,7428,0.1750
FORCED VITAL CAPACITY,Phase 1,1,5382,0.0186
FORCED VITAL CAPACITY,Phase 2,27,17715,0.1524
FORCED VITAL CAPACITY,Phase 3,17,12737,0.1335
FORCED VITAL CAPACITY,Phase 4,7,7428,0.0942
FREQUENCY OF ADVERSE EVENTS,Phase 1,8,5382,0.1486
FREQUENCY OF ADVERSE EVENTS,Phase 2,27,17715,0.1524
FREQUENCY OF ADVERSE EVENTS,Phase 3,28,12737,0.2198
FREQUENCY OF ADVERSE EVENTS,Phase 4,3,7428,0.0404
GEOMETRIC MEAN TITER,Phase 1,8,5382,0.1486
GEOMETRIC MEAN TITER,Phase 2,38,17715,0.2145
GEOMETRIC MEAN TITER,Phase 3,58,12737,0.4554
GEOMETRIC MEAN TITER,Phase 4,11,7428,0.1481
GEOMETRIC MEAN TITER OF ANTIBODIES,Phase 1,1,5382,0.0186
GEOMETRIC MEAN TITER OF ANTIBODIES,Phase 2,20,17715,0.1129
GEOMETRIC MEAN TITER OF ANTIBODIES,Phase 3,23,12737,0.1806
GEOMETRIC MEAN TITER OF ANTIBODIES,Phase 4,5,7428,0.0673
GEOMETRIC MEAN TITERS,Phase 1,10,5382,0.1858
GEOMETRIC MEAN TITERS,Phase 2,26,17715,0.1468
GEOMETRIC MEAN TITERS,Phase 3,80,12737,0.6281
GEOMETRIC MEAN TITERS,Phase 4,18,7428,0.2423
GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 1,11,5382,0.2044
GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 2,127,17715,0.7169
GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 3,27,12737,0.2120
GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 4,1,7428,0.0135
GRIP STRENGTH,Phase 2,7,17715,0.0395
GRIP STRENGTH,Phase 3,4,12737,0.0314
GRIP STRENGTH,Phase 4,3,7428,0.0404
HALF-LIFE,Phase 1,204,5382,3.7904
HALF-LIFE,Phase 2,71,17715,0.4008
HALF-LIFE,Phase 3,23,12737,0.1806
HALF-LIFE,Phase 4,8,7428,0.1077
HARRIS HIP SCORE,Phase 2,2,17715,0.0113
HARRIS HIP SCORE,Phase 4,2,7428,0.0269
HEART RATE,Phase 1,7,5382,0.1301
HEART RATE,Phase 2,21,17715,0.1185
HEART RATE,Phase 3,12,12737,0.0942
HEART RATE,Phase 4,19,7428,0.2558
HOSPITAL LENGTH OF STAY,Phase 1,4,5382,0.0743
HOSPITAL LENGTH OF STAY,Phase 2,20,17715,0.1129
HOSPITAL LENGTH OF STAY,Phase 3,16,12737,0.1256
HOSPITAL LENGTH OF STAY,Phase 4,39,7428,0.5250
HOSPITALIZATION RATE,Phase 1,1,5382,0.0186
HOSPITALIZATION RATE,Phase 2,19,17715,0.1073
HOSPITALIZATION RATE,Phase 3,28,12737,0.2198
HOSPITALIZATION RATE,Phase 4,8,7428,0.1077
ICU ADMISSION RATE,Phase 1,1,5382,0.0186
ICU ADMISSION RATE,Phase 2,18,17715,0.1016
ICU ADMISSION RATE,Phase 3,15,12737,0.1178
ICU ADMISSION RATE,Phase 4,7,7428,0.0942
ICU LENGTH OF STAY,Phase 1,3,5382,0.0557
ICU LENGTH OF STAY,Phase 2,10,17715,0.0564
ICU LENGTH OF STAY,Phase 3,10,12737,0.0785
ICU LENGTH OF STAY,Phase 4,11,7428,0.1481
IGA RESPONSE,Phase 1,5,5382,0.0929
IGA RESPONSE,Phase 2,115,17715,0.6492
IGA RESPONSE,Phase 3,124,12737,0.9735
IGA RESPONSE,Phase 4,25,7428,0.3366
IMMUNE RESPONSE RATE,Phase 1,26,5382,0.4831
IMMUNE RESPONSE RATE,Phase 2,79,17715,0.4459
IMMUNE RESPONSE RATE,Phase 3,45,12737,0.3533
IMMUNE RESPONSE RATE,Phase 4,13,7428,0.1750
IN-HOSPITAL MORTALITY,Phase 1,1,5382,0.0186
IN-HOSPITAL MORTALITY,Phase 2,11,17715,0.0621
IN-HOSPITAL MORTALITY,Phase 3,5,12737,0.0393
IN-HOSPITAL MORTALITY,Phase 4,8,7428,0.1077
INCIDENCE AND SEVERITY OF ADVERSE EVENTS,Phase 1,8,5382,0.1486
INCIDENCE AND SEVERITY OF ADVERSE EVENTS,Phase 2,15,17715,0.0847
INCIDENCE AND SEVERITY OF ADVERSE EVENTS,Phase 3,5,12737,0.0393
INCIDENCE AND SEVERITY OF ADVERSE EVENTS,Phase 4,2,7428,0.0269
INCIDENCE OF ADVERSE EVENTS,Phase 1,26,5382,0.4831
INCIDENCE OF ADVERSE EVENTS,Phase 2,127,17715,0.7169
INCIDENCE OF ADVERSE EVENTS,Phase 3,69,12737,0.5417
INCIDENCE OF ADVERSE EVENTS,Phase 4,14,7428,0.1885
INCIDENCE OF SERIOUS ADVERSE EVENTS,Phase 1,9,5382,0.1672
INCIDENCE OF SERIOUS ADVERSE EVENTS,Phase 2,23,17715,0.1298
INCIDENCE OF SERIOUS ADVERSE EVENTS,Phase 3,14,12737,0.1099
INCIDENCE OF SERIOUS ADVERSE EVENTS,Phase 4,4,7428,0.0539
INCIDENCE OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 1,6,5382,0.1115
INCIDENCE OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 2,17,17715,0.0960
INCIDENCE OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 3,19,12737,0.1492
INCIDENCE OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 4,1,7428,0.0135
INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 1,20,5382,0.3716
INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 2,49,17715,0.2766
INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 3,23,12737,0.1806
INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 4,7,7428,0.0942
INJECTION SITE REACTIONS,Phase 1,30,5382,0.5574
INJECTION SITE REACTIONS,Phase 2,49,17715,0.2766
INJECTION SITE REACTIONS,Phase 3,70,12737,0.5496
INJECTION SITE REACTIONS,Phase 4,9,7428,0.1212
INSOMNIA SEVERITY INDEX,Phase 2,6,17715,0.0339
INSOMNIA SEVERITY INDEX,Phase 3,1,12737,0.0079
INSOMNIA SEVERITY INDEX,Phase 4,7,7428,0.0942
INSULIN SENSITIVITY,Phase 1,1,5382,0.0186
INSULIN SENSITIVITY,Phase 2,13,17715,0.0734
INSULIN SENSITIVITY,Phase 3,4,12737,0.0314
INSULIN SENSITIVITY,Phase 4,10,7428,0.1346
INTRAOCULAR PRESSURE,Phase 1,6,5382,0.1115
INTRAOCULAR PRESSURE,Phase 2,15,17715,0.0847
INTRAOCULAR PRESSURE,Phase 3,11,12737,0.0864
INTRAOCULAR PRESSURE,Phase 4,18,7428,0.2423
LABORATORY VALUES SUMMARY,Phase 1,24,5382,0.4459
LABORATORY VALUES SUMMARY,Phase 2,19,17715,0.1073
LABORATORY VALUES SUMMARY,Phase 3,13,12737,0.1021
LABORATORY VALUES SUMMARY,Phase 4,5,7428,0.0673
LEFT VENTRICULAR EJECTION FRACTION,Phase 1,5,5382,0.0929
LEFT VENTRICULAR EJECTION FRACTION,Phase 2,9,17715,0.0508
LEFT VENTRICULAR EJECTION FRACTION,Phase 3,5,12737,0.0393
LEFT VENTRICULAR EJECTION FRACTION,Phase 4,6,7428,0.0808
LENGTH OF HOSPITAL STAY,Phase 1,3,5382,0.0557
LENGTH OF HOSPITAL STAY,Phase 2,60,17715,0.3387
LENGTH OF HOSPITAL STAY,Phase 3,65,12737,0.5103
LENGTH OF HOSPITAL STAY,Phase 4,121,7428,1.6290
LENGTH OF ICU STAY,Phase 2,10,17715,0.0564
LENGTH OF ICU STAY,Phase 3,6,12737,0.0471
LENGTH OF ICU STAY,Phase 4,10,7428,0.1346
LENGTH OF STAY,Phase 2,8,17715,0.0452
LENGTH OF STAY,Phase 3,9,12737,0.0707
LENGTH OF STAY,Phase 4,17,7428,0.2289
MAXIMUM OBSERVED PLASMA CONCENTRATION,Phase 1,52,5382,0.9662
MAXIMUM OBSERVED PLASMA CONCENTRATION,Phase 2,13,17715,0.0734
MAXIMUM OBSERVED PLASMA CONCENTRATION,Phase 3,4,12737,0.0314
MAXIMUM OBSERVED PLASMA CONCENTRATION,Phase 4,1,7428,0.0135
MAXIMUM OBSERVED SERUM CONCENTRATION,Phase 1,93,5382,1.7280
MAXIMUM OBSERVED SERUM CONCENTRATION,Phase 2,40,17715,0.2258
MAXIMUM OBSERVED SERUM CONCENTRATION,Phase 3,16,12737,0.1256
MAXIMUM OBSERVED SERUM CONCENTRATION,Phase 4,1,7428,0.0135
MAXIMUM PLASMA CONCENTRATION,Phase 1,2285,5382,42.4563
MAXIMUM PLASMA CONCENTRATION,Phase 2,821,17715,4.6345
MAXIMUM PLASMA CONCENTRATION,Phase 3,232,12737,1.8215
MAXIMUM PLASMA CONCENTRATION,Phase 4,107,7428,1.4405
MAXIMUM SERUM CONCENTRATION,Phase 1,80,5382,1.4864
MAXIMUM SERUM CONCENTRATION,Phase 2,50,17715,0.2822
MAXIMUM SERUM CONCENTRATION,Phase 3,24,12737,0.1884
MAXIMUM SERUM CONCENTRATION,Phase 4,3,7428,0.0404
MAXIMUM TOLERATED DOSE,Phase 1,355,5382,6.5961
MAXIMUM TOLERATED DOSE,Phase 2,37,17715,0.2089
MAXIMUM TOLERATED DOSE,Phase 3,1,12737,0.0079
MAXIMUM TOLERATED DOSE,Phase 4,2,7428,0.0269
MEAN ARTERIAL PRESSURE,Phase 1,1,5382,0.0186
MEAN ARTERIAL PRESSURE,Phase 2,2,17715,0.0113
MEAN ARTERIAL PRESSURE,Phase 4,14,7428,0.1885
MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 1,1,5382,0.0186
MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 2,17,17715,0.0960
MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 3,18,12737,0.1413
MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 4,8,7428,0.1077
MEAN CHANGE IN BLOOD PRESSURE,Phase 1,9,5382,0.1672
MEAN CHANGE IN BLOOD PRESSURE,Phase 2,19,17715,0.1073
MEAN CHANGE IN BLOOD PRESSURE,Phase 3,21,12737,0.1649
MEAN CHANGE IN BLOOD PRESSURE,Phase 4,9,7428,0.1212
MEAN CHANGE IN HEART RATE,Phase 1,9,5382,0.1672
MEAN CHANGE IN HEART RATE,Phase 2,16,17715,0.0903
MEAN CHANGE IN HEART RATE,Phase 3,18,12737,0.1413
MEAN CHANGE IN HEART RATE,Phase 4,7,7428,0.0942
MEAN CHANGE IN HEMOGLOBIN,Phase 1,6,5382,0.1115
MEAN CHANGE IN HEMOGLOBIN,Phase 2,24,17715,0.1355
MEAN CHANGE IN HEMOGLOBIN,Phase 3,40,12737,0.3140
MEAN CHANGE IN HEMOGLOBIN A1C,Phase 1,2,5382,0.0372
MEAN CHANGE IN HEMOGLOBIN A1C,Phase 2,10,17715,0.0564
MEAN CHANGE IN HEMOGLOBIN A1C,Phase 3,15,12737,0.1178
MEAN CHANGE IN HEMOGLOBIN A1C,Phase 4,11,7428,0.1481
MEAN HEART RATE,Phase 1,2,5382,0.0372
MEAN HEART RATE,Phase 2,21,17715,0.1185
MEAN HEART RATE,Phase 3,13,12737,0.1021
MEAN HEART RATE,Phase 4,1,7428,0.0135
MEAN RESIDENCE TIME,Phase 1,121,5382,2.2482
MEAN RESIDENCE TIME,Phase 2,29,17715,0.1637
MEAN RESIDENCE TIME,Phase 3,34,12737,0.2669
MEAN RESIDENCE TIME,Phase 4,6,7428,0.0808
MEDIAN DURATION OF RESPONSE,Phase 1,5,5382,0.0929
MEDIAN DURATION OF RESPONSE,Phase 2,39,17715,0.2202
MEDIAN DURATION OF RESPONSE,Phase 3,3,12737,0.0236
MEDIAN OVERALL SURVIVAL,Phase 1,10,5382,0.1858
MEDIAN OVERALL SURVIVAL,Phase 2,232,17715,1.3096
MEDIAN OVERALL SURVIVAL,Phase 3,14,12737,0.1099
MEDIAN PROGRESSION FREE SURVIVAL,Phase 1,5,5382,0.0929
MEDIAN PROGRESSION FREE SURVIVAL,Phase 2,84,17715,0.4742
MEDIAN PROGRESSION FREE SURVIVAL,Phase 3,5,12737,0.0393
MEDIAN PROGRESSION FREE SURVIVAL,Phase 4,2,7428,0.0269
MEDIAN PROGRESSION-FREE SURVIVAL,Phase 1,11,5382,0.2044
MEDIAN PROGRESSION-FREE SURVIVAL,Phase 2,170,17715,0.9596
MEDIAN PROGRESSION-FREE SURVIVAL,Phase 3,13,12737,0.1021
MEDIAN SURVIVAL TIME,Phase 1,3,5382,0.0557
MEDIAN SURVIVAL TIME,Phase 2,31,17715,0.1750
MEDIAN SURVIVAL TIME,Phase 3,7,12737,0.0550
MEDIAN SURVIVAL TIME,Phase 4,2,7428,0.0269
MEDICATION ADHERENCE,Phase 2,4,17715,0.0226
MEDICATION ADHERENCE,Phase 3,1,12737,0.0079
MEDICATION ADHERENCE,Phase 4,9,7428,0.1212
MICROBIOLOGICAL ERADICATION,Phase 2,24,17715,0.1355
MICROBIOLOGICAL ERADICATION,Phase 3,37,12737,0.2905
MICROBIOLOGICAL ERADICATION,Phase 4,9,7428,0.1212
MINIMAL RESIDUAL DISEASE NEGATIVITY,Phase 1,8,5382,0.1486
MINIMAL RESIDUAL DISEASE NEGATIVITY,Phase 2,42,17715,0.2371
MINIMAL RESIDUAL DISEASE NEGATIVITY,Phase 3,31,12737,0.2434
MINIMAL RESIDUAL DISEASE NEGATIVITY,Phase 4,4,7428,0.0539
MINIMUM PLASMA CONCENTRATION,Phase 1,28,5382,0.5203
MINIMUM PLASMA CONCENTRATION,Phase 2,31,17715,0.1750
MINIMUM PLASMA CONCENTRATION,Phase 3,12,12737,0.0942
MINIMUM PLASMA CONCENTRATION,Phase 4,4,7428,0.0539
MORTALITY,Phase 1,2,5382,0.0372
MORTALITY,Phase 2,15,17715,0.0847
MORTALITY,Phase 3,13,12737,0.1021
MORTALITY,Phase 4,8,7428,0.1077
MRI LESION COUNT,Phase 1,4,5382,0.0743
MRI LESION COUNT,Phase 2,19,17715,0.1073
MRI LESION COUNT,Phase 3,15,12737,0.1178
MRI LESION COUNT,Phase 4,5,7428,0.0673
NAUSEA,Phase 1,5,5382,0.0929
NAUSEA,Phase 2,11,17715,0.0621
NAUSEA,Phase 3,13,12737,0.1021
NAUSEA,Phase 4,34,7428,0.4577
NON-RELAPSE MORTALITY,Phase 1,2,5382,0.0372
NON-RELAPSE MORTALITY,Phase 2,52,17715,0.2935
NON-RELAPSE MORTALITY,Phase 3,9,12737,0.0707
NON-RELAPSE MORTALITY,Phase 4,1,7428,0.0135
NUMBER OF ADVERSE EVENTS,Phase 1,109,5382,2.0253
NUMBER OF ADVERSE EVENTS,Phase 2,224,17715,1.2645
NUMBER OF ADVERSE EVENTS,Phase 3,82,12737,0.6438
NUMBER OF ADVERSE EVENTS,Phase 4,54,7428,0.7270
NUMBER OF DEATHS,Phase 1,3,5382,0.0557
NUMBER OF DEATHS,Phase 2,17,17715,0.0960
NUMBER OF DEATHS,Phase 3,9,12737,0.0707
NUMBER OF DEATHS,Phase 4,7,7428,0.0942
NUMBER OF DOSE LIMITING TOXICITIES,Phase 1,15,5382,0.2787
NUMBER OF DOSE LIMITING TOXICITIES,Phase 2,2,17715,0.0113
NUMBER OF PARTICIPANTS ACHIEVING TARGET,Phase 2,10,17715,0.0564
NUMBER OF PARTICIPANTS ACHIEVING TARGET,Phase 3,16,12737,0.1256
NUMBER OF PARTICIPANTS ACHIEVING TARGET,Phase 4,5,7428,0.0673
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,Phase 1,2,5382,0.0372
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,Phase 2,13,17715,0.0734
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,Phase 3,4,12737,0.0314
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,Phase 4,8,7428,0.1077
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,Phase 1,42,5382,0.7804
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,Phase 2,2,17715,0.0113
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,Phase 3,6,12737,0.0471
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,Phase 4,3,7428,0.0404
NUMBER OF PARTICIPANTS WHO DIED,Phase 1,3,5382,0.0557
NUMBER OF PARTICIPANTS WHO DIED,Phase 2,30,17715,0.1693
NUMBER OF PARTICIPANTS WHO DIED,Phase 3,15,12737,0.1178
NUMBER OF PARTICIPANTS WHO DIED,Phase 4,3,7428,0.0404
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,Phase 1,19,5382,0.3530
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,Phase 2,20,17715,0.1129
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,Phase 3,21,12737,0.1649
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,Phase 1,52,5382,0.9662
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,Phase 2,67,17715,0.3782
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,Phase 3,19,12737,0.1492
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,Phase 4,3,7428,0.0404
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,Phase 1,27,5382,0.5017
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,Phase 2,25,17715,0.1411
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,Phase 3,7,12737,0.0550
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,Phase 2,1,17715,0.0056
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,Phase 3,2,12737,0.0157
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,Phase 4,3,7428,0.0404
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 1,667,5382,12.3932
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 2,1512,17715,8.5351
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 3,992,12737,7.7883
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 4,272,7428,3.6618
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,Phase 1,13,5382,0.2415
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,Phase 2,16,17715,0.0903
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,Phase 3,15,12737,0.1178
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,Phase 4,10,7428,0.1346
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 1,4,5382,0.0743
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 2,29,17715,0.1637
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 3,40,12737,0.3140
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 4,6,7428,0.0808
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,Phase 1,11,5382,0.2044
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,Phase 2,25,17715,0.1411
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,Phase 3,37,12737,0.2905
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,Phase 4,9,7428,0.1212
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 1,53,5382,0.9848
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 2,61,17715,0.3443
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 3,86,12737,0.6752
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 4,2,7428,0.0269
