outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,Phase 1,7,5382,0.1301
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,Phase 2,20,17715,0.1129
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,Phase 3,16,12737,0.1256
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,Phase 4,1,7428,0.0135
CHANGE FROM BASELINE IN RESPIRATORY RATE,Phase 1,34,5382,0.6317
CHANGE FROM BASELINE IN RESPIRATORY RATE,Phase 2,36,17715,0.2032
CHANGE FROM BASELINE IN RESPIRATORY RATE,Phase 3,15,12737,0.1178
CHANGE FROM BASELINE IN RESPIRATORY RATE,Phase 4,7,7428,0.0942
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,Phase 1,11,5382,0.2044
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,Phase 2,19,17715,0.1073
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,Phase 3,15,12737,0.1178
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,Phase 4,6,7428,0.0808
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,Phase 1,12,5382,0.2230
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,Phase 2,23,17715,0.1298
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,Phase 3,42,12737,0.3297
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,Phase 4,7,7428,0.0942
CHANGE FROM BASELINE IN TROUGH FEV1,Phase 1,3,5382,0.0557
CHANGE FROM BASELINE IN TROUGH FEV1,Phase 2,37,17715,0.2089
CHANGE FROM BASELINE IN TROUGH FEV1,Phase 3,58,12737,0.4554
CHANGE FROM BASELINE IN TROUGH FEV1,Phase 4,15,7428,0.2019
CHANGE IN 6-MINUTE WALK DISTANCE,Phase 1,12,5382,0.2230
CHANGE IN 6-MINUTE WALK DISTANCE,Phase 2,126,17715,0.7113
CHANGE IN 6-MINUTE WALK DISTANCE,Phase 3,97,12737,0.7616
CHANGE IN 6-MINUTE WALK DISTANCE,Phase 4,50,7428,0.6731
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,Phase 1,16,5382,0.2973
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,Phase 2,35,17715,0.1976
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,Phase 3,28,12737,0.2198
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,Phase 4,6,7428,0.0808
CHANGE IN ADAS-COG SCORE,Phase 1,4,5382,0.0743
CHANGE IN ADAS-COG SCORE,Phase 2,63,17715,0.3556
CHANGE IN ADAS-COG SCORE,Phase 3,39,12737,0.3062
CHANGE IN ADAS-COG SCORE,Phase 4,12,7428,0.1616
CHANGE IN ADHD-RS SCORE,Phase 2,8,17715,0.0452
CHANGE IN ADHD-RS SCORE,Phase 3,27,12737,0.2120
