disease_area,disease,start_year,outcome_category,outcome_record_count,trial_count
Disorder of immune function,Primary Immunodeficiency,2013,Hospitalization/Healthcare Use,3,1
Disorder of immune function,Primary Immunodeficiency,2013,Imaging Outcomes,2,1
Disorder of immune function,Primary Immunodeficiency,2013,Immunogenicity,3,1
Disorder of immune function,Primary Immunodeficiency,2013,Microbiological/Virological,6,2
Disorder of immune function,Primary Immunodeficiency,2013,Pharmacokinetics,10,1
Disorder of immune function,Primary Immunodeficiency,2013,Quality of Life/PRO,5,1
Disorder of immune function,Primary Immunodeficiency,2013,Symptoms/Pain,1,1
Disorder of immune function,Primary Immunodeficiency,2013,Treatment Adherence,2,2
Disorder of immune function,Primary Immunodeficiency,2013,Vital Signs/Physical Measures,7,1
Disorder of immune function,Rheumatoid Arthritis,2013,Adverse Events/Safety,58,22
Disorder of immune function,Rheumatoid Arthritis,2013,Biomarkers/Lab Values,43,16
Disorder of immune function,Rheumatoid Arthritis,2013,Disease Activity Scores,123,28
Disorder of immune function,Rheumatoid Arthritis,2013,Disease Control,5,4
Disorder of immune function,Rheumatoid Arthritis,2013,Dose-Finding,2,2
Disorder of immune function,Rheumatoid Arthritis,2013,Functional Status,25,21
Disorder of immune function,Rheumatoid Arthritis,2013,Hospitalization/Healthcare Use,2,2
Disorder of immune function,Rheumatoid Arthritis,2013,Imaging Outcomes,17,6
Disorder of immune function,Rheumatoid Arthritis,2013,Immunogenicity,9,9
Disorder of immune function,Rheumatoid Arthritis,2013,Mortality,1,1
Disorder of immune function,Rheumatoid Arthritis,2013,Other Clinical Endpoints,1,1
Disorder of immune function,Rheumatoid Arthritis,2013,Pharmacokinetics,27,9
Disorder of immune function,Rheumatoid Arthritis,2013,Quality of Life/PRO,33,17
Disorder of immune function,Rheumatoid Arthritis,2013,Remission/Cure,33,17
Disorder of immune function,Rheumatoid Arthritis,2013,Response Rates,58,20
Disorder of immune function,Rheumatoid Arthritis,2013,Survival/Time-to-Event,4,4
Disorder of immune function,Rheumatoid Arthritis,2013,Symptoms/Pain,22,15
Disorder of immune function,Rheumatoid Arthritis,2013,Treatment Adherence,23,7
Disorder of immune function,Rheumatoid Arthritis,2013,Vital Signs/Physical Measures,8,5
Disorder of immune function,Sarcoidosis,2013,Adverse Events/Safety,15,3
Disorder of immune function,Sarcoidosis,2013,Biomarkers/Lab Values,2,2
Disorder of immune function,Sarcoidosis,2013,Disease Activity Scores,1,1
Disorder of immune function,Sarcoidosis,2013,Disease Control,1,1
Disorder of immune function,Sarcoidosis,2013,Functional Status,3,1
Disorder of immune function,Sarcoidosis,2013,Immunogenicity,8,3
Disorder of immune function,Sarcoidosis,2013,Remission/Cure,4,1
Disorder of immune function,Sarcoidosis,2013,Response Rates,2,2
Disorder of immune function,Severe Combined Immunodeficiency,2013,Adverse Events/Safety,5,2
Disorder of immune function,Severe Combined Immunodeficiency,2013,Biomarkers/Lab Values,8,2
Disorder of immune function,Severe Combined Immunodeficiency,2013,Immunogenicity,6,1
Disorder of immune function,Severe Combined Immunodeficiency,2013,Microbiological/Virological,1,1
Disorder of immune function,Severe Combined Immunodeficiency,2013,Other Clinical Endpoints,1,1
Disorder of immune function,Severe Combined Immunodeficiency,2013,Response Rates,1,1
Disorder of immune function,Severe Combined Immunodeficiency,2013,Survival/Time-to-Event,2,1
Disorder of immune function,Sjögren's Syndrome,2013,Adverse Events/Safety,4,2
Disorder of immune function,Sjögren's Syndrome,2013,Biomarkers/Lab Values,10,3
Disorder of immune function,Sjögren's Syndrome,2013,Disease Activity Scores,2,1
Disorder of immune function,Sjögren's Syndrome,2013,Disease Control,1,1
Disorder of immune function,Sjögren's Syndrome,2013,Functional Status,5,3
Disorder of immune function,Sjögren's Syndrome,2013,Imaging Outcomes,9,2
Disorder of immune function,Sjögren's Syndrome,2013,Immunogenicity,1,1
Disorder of immune function,Sjögren's Syndrome,2013,Quality of Life/PRO,6,3
Disorder of immune function,Sjögren's Syndrome,2013,Symptoms/Pain,9,3
Disorder of immune function,Sjögren's Syndrome,2013,Treatment Adherence,1,1
Disorder of immune function,Sjögren's Syndrome,2013,Vital Signs/Physical Measures,3,1
Disorder of immune function,Systemic Lupus Erythematosus,2013,Adverse Events/Safety,20,6
Disorder of immune function,Systemic Lupus Erythematosus,2013,Biomarkers/Lab Values,2,2
Disorder of immune function,Systemic Lupus Erythematosus,2013,Disease Activity Scores,25,8
Disorder of immune function,Systemic Lupus Erythematosus,2013,Disease Control,4,2
Disorder of immune function,Systemic Lupus Erythematosus,2013,Immunogenicity,6,3
Disorder of immune function,Systemic Lupus Erythematosus,2013,Mortality,2,1
Disorder of immune function,Systemic Lupus Erythematosus,2013,Quality of Life/PRO,12,4
Disorder of immune function,Systemic Lupus Erythematosus,2013,Remission/Cure,1,1
Disorder of immune function,Systemic Lupus Erythematosus,2013,Response Rates,16,5
Disorder of immune function,Systemic Lupus Erythematosus,2013,Survival/Time-to-Event,4,2
Disorder of immune function,Systemic Sclerosis,2013,Adverse Events/Safety,2,1
Disorder of immune function,Systemic Sclerosis,2013,Biomarkers/Lab Values,2,2
Disorder of immune function,Systemic Sclerosis,2013,Disease Activity Scores,4,2
Disorder of immune function,Systemic Sclerosis,2013,Functional Status,3,2
Disorder of immune function,Systemic Sclerosis,2013,Imaging Outcomes,3,2
Disorder of immune function,Systemic Sclerosis,2013,Quality of Life/PRO,1,1
Disorder of immune function,Systemic Sclerosis,2013,Vital Signs/Physical Measures,1,1
Disorder of immune function,Vasculitis,2013,Adverse Events/Safety,3,2
Disorder of immune function,Vasculitis,2013,Biomarkers/Lab Values,6,2
Disorder of immune function,Vasculitis,2013,Disease Activity Scores,3,3
Disorder of immune function,Vasculitis,2013,Functional Status,4,2
Disorder of immune function,Vasculitis,2013,Imaging Outcomes,2,1
Disorder of immune function,Vasculitis,2013,Immunogenicity,2,2
Disorder of immune function,Vasculitis,2013,Mental Health Outcomes,2,1
Disorder of immune function,Vasculitis,2013,Pharmacokinetics,6,2
Disorder of immune function,Vasculitis,2013,Quality of Life/PRO,4,3
Disorder of immune function,Vasculitis,2013,Remission/Cure,2,2
Disorder of immune function,Vasculitis,2013,Survival/Time-to-Event,3,3
Disorder of immune function,Vasculitis,2013,Vital Signs/Physical Measures,3,2
Disorder of labour / delivery,Preterm Labor,2013,Adverse Events/Safety,21,8
Disorder of labour / delivery,Preterm Labor,2013,Biomarkers/Lab Values,16,7
Disorder of labour / delivery,Preterm Labor,2013,Hospitalization/Healthcare Use,12,6
Disorder of labour / delivery,Preterm Labor,2013,Imaging Outcomes,4,3
Disorder of labour / delivery,Preterm Labor,2013,Microbiological/Virological,2,1
Disorder of labour / delivery,Preterm Labor,2013,Mortality,2,2
Disorder of labour / delivery,Preterm Labor,2013,Quality of Life/PRO,2,2
Disorder of labour / delivery,Preterm Labor,2013,Survival/Time-to-Event,7,5
Disorder of labour / delivery,Preterm Labor,2013,Symptoms/Pain,3,2
Disorder of labour / delivery,Preterm Labor,2013,Treatment Adherence,7,2
Disorder of labour / delivery,Preterm Labor,2013,Vital Signs/Physical Measures,9,5
Disorder of skin,Acne,2013,Adverse Events/Safety,13,4
Disorder of skin,Acne,2013,Biomarkers/Lab Values,2,2
Disorder of skin,Acne,2013,Disease Activity Scores,31,12
Disorder of skin,Acne,2013,Disease Control,4,4
Disorder of skin,Acne,2013,Imaging Outcomes,2,2
Disorder of skin,Acne,2013,Immunogenicity,1,1
Disorder of skin,Acne,2013,Pharmacokinetics,4,2
Disorder of skin,Acne,2013,Quality of Life/PRO,10,8
Disorder of skin,Acne,2013,Response Rates,6,5
Disorder of skin,Acne,2013,Symptoms/Pain,15,5
Disorder of skin,Acne,2013,Vital Signs/Physical Measures,2,1
Disorder of skin,Alopecia Areata,2013,Adverse Events/Safety,4,2
Disorder of skin,Alopecia Areata,2013,Biomarkers/Lab Values,14,2
Disorder of skin,Alopecia Areata,2013,Disease Activity Scores,2,2
Disorder of skin,Alopecia Areata,2013,Disease Control,1,1
Disorder of skin,Alopecia Areata,2013,Imaging Outcomes,3,2
Disorder of skin,Alopecia Areata,2013,Mental Health Outcomes,1,1
Disorder of skin,Alopecia Areata,2013,Pharmacokinetics,3,1
Disorder of skin,Alopecia Areata,2013,Quality of Life/PRO,8,4
Disorder of skin,Alopecia Areata,2013,Response Rates,8,5
Disorder of skin,Alopecia Areata,2013,Survival/Time-to-Event,1,1
Disorder of skin,Alopecia Areata,2013,Vital Signs/Physical Measures,2,1
Disorder of skin,Atopic Dermatitis,2013,Adverse Events/Safety,27,12
Disorder of skin,Atopic Dermatitis,2013,Biomarkers/Lab Values,5,3
Disorder of skin,Atopic Dermatitis,2013,Disease Activity Scores,40,12
Disorder of skin,Atopic Dermatitis,2013,Disease Control,8,7
Disorder of skin,Atopic Dermatitis,2013,Dose-Finding,1,1
Disorder of skin,Atopic Dermatitis,2013,Functional Status,2,1
Disorder of skin,Atopic Dermatitis,2013,Imaging Outcomes,1,1
Disorder of skin,Atopic Dermatitis,2013,Microbiological/Virological,1,1
Disorder of skin,Atopic Dermatitis,2013,Pharmacokinetics,2,2
Disorder of skin,Atopic Dermatitis,2013,Quality of Life/PRO,23,9
Disorder of skin,Atopic Dermatitis,2013,Remission/Cure,1,1
Disorder of skin,Atopic Dermatitis,2013,Response Rates,28,15
Disorder of skin,Atopic Dermatitis,2013,Survival/Time-to-Event,2,1
Disorder of skin,Atopic Dermatitis,2013,Symptoms/Pain,19,11
Disorder of skin,Atopic Dermatitis,2013,Treatment Adherence,1,1
Disorder of skin,Atopic Dermatitis,2013,Vital Signs/Physical Measures,3,3
Disorder of skin,Chronic Urticaria,2013,Adverse Events/Safety,6,4
Disorder of skin,Chronic Urticaria,2013,Biomarkers/Lab Values,5,2
Disorder of skin,Chronic Urticaria,2013,Disease Activity Scores,8,4
Disorder of skin,Chronic Urticaria,2013,Quality of Life/PRO,4,2
Disorder of skin,Chronic Urticaria,2013,Survival/Time-to-Event,1,1
Disorder of skin,Chronic Urticaria,2013,Symptoms/Pain,24,7
Disorder of skin,Chronic Urticaria,2013,Treatment Adherence,1,1
Disorder of skin,Chronic Urticaria,2013,Vital Signs/Physical Measures,1,1
Disorder of skin,Hidradenitis Suppurativa,2013,Adverse Events/Safety,1,1
Disorder of skin,Hidradenitis Suppurativa,2013,Biomarkers/Lab Values,2,2
Disorder of skin,Hidradenitis Suppurativa,2013,Disease Activity Scores,2,2
Disorder of skin,Hidradenitis Suppurativa,2013,Microbiological/Virological,6,1
Disorder of skin,Hidradenitis Suppurativa,2013,Quality of Life/PRO,4,3
Disorder of skin,Hidradenitis Suppurativa,2013,Response Rates,3,3
Disorder of skin,Hidradenitis Suppurativa,2013,Symptoms/Pain,10,4
Disorder of skin,Hidradenitis Suppurativa,2013,Vital Signs/Physical Measures,1,1
Disorder of skin,Pressure Ulcers,2013,Adverse Events/Safety,1,1
Disorder of skin,Pressure Ulcers,2013,Biomarkers/Lab Values,1,1
Disorder of skin,Pressure Ulcers,2013,Disease Activity Scores,1,1
Disorder of skin,Pressure Ulcers,2013,Disease Control,1,1
Disorder of skin,Pressure Ulcers,2013,Functional Status,4,1
Disorder of skin,Pressure Ulcers,2013,Symptoms/Pain,1,1
Disorder of skin,Pressure Ulcers,2013,Treatment Adherence,1,1
Disorder of skin,Pressure Ulcers,2013,Vital Signs/Physical Measures,1,1
Disorder of skin,Psoriasis,2013,Adverse Events/Safety,21,16
Disorder of skin,Psoriasis,2013,Biomarkers/Lab Values,19,5
Disorder of skin,Psoriasis,2013,Disease Activity Scores,86,28
Disorder of skin,Psoriasis,2013,Disease Control,4,3
Disorder of skin,Psoriasis,2013,Imaging Outcomes,2,2
Disorder of skin,Psoriasis,2013,Immunogenicity,6,6
Disorder of skin,Psoriasis,2013,Other Clinical Endpoints,1,1
Disorder of skin,Psoriasis,2013,Pharmacokinetics,21,6
Disorder of skin,Psoriasis,2013,Quality of Life/PRO,32,16
Disorder of skin,Psoriasis,2013,Response Rates,57,24
Disorder of skin,Psoriasis,2013,Survival/Time-to-Event,9,3
Disorder of skin,Psoriasis,2013,Symptoms/Pain,16,12
Disorder of skin,Psoriasis,2013,Treatment Adherence,4,4
Disorder of skin,Psoriasis,2013,Vital Signs/Physical Measures,4,2
Disorder of skin,Rosacea,2013,Adverse Events/Safety,8,5
Disorder of skin,Rosacea,2013,Biomarkers/Lab Values,3,2
Disorder of skin,Rosacea,2013,Disease Activity Scores,14,10
Disorder of skin,Rosacea,2013,Hospitalization/Healthcare Use,2,2
Disorder of skin,Rosacea,2013,Imaging Outcomes,5,3
Disorder of skin,Rosacea,2013,Microbiological/Virological,1,1
Disorder of skin,Rosacea,2013,Other Clinical Endpoints,1,1
Disorder of skin,Rosacea,2013,Quality of Life/PRO,48,21
Disorder of skin,Rosacea,2013,Response Rates,4,4
Disorder of skin,Rosacea,2013,Survival/Time-to-Event,1,1
Disorder of skin,Rosacea,2013,Symptoms/Pain,28,16
Disorder of skin,Rosacea,2013,Treatment Adherence,2,2
Disorder of skin,Rosacea,2013,Vital Signs/Physical Measures,3,2
Disorder of skin,Vitiligo,2013,Adverse Events/Safety,5,1
Disorder of skin,Vitiligo,2013,Biomarkers/Lab Values,18,4
Disorder of skin,Vitiligo,2013,Disease Activity Scores,4,2
Disorder of skin,Vitiligo,2013,Disease Control,2,2
Disorder of skin,Vitiligo,2013,Functional Status,3,1
Disorder of skin,Vitiligo,2013,Imaging Outcomes,6,1
Disorder of skin,Vitiligo,2013,Other Clinical Endpoints,2,1
Disorder of skin,Vitiligo,2013,Pharmacokinetics,6,2
Disorder of skin,Vitiligo,2013,Remission/Cure,4,1
Disorder of skin,Vitiligo,2013,Response Rates,2,2
Disorder of skin,Vitiligo,2013,Survival/Time-to-Event,1,1
Disorder of skin,Vitiligo,2013,Symptoms/Pain,11,4
Disorder of skin,Vitiligo,2013,Treatment Adherence,1,1
Disorder of skin,Wound Healing,2013,Adverse Events/Safety,16,8
Disorder of skin,Wound Healing,2013,Biomarkers/Lab Values,6,2
Disorder of skin,Wound Healing,2013,Disease Activity Scores,2,2
Disorder of skin,Wound Healing,2013,Disease Control,3,2
Disorder of skin,Wound Healing,2013,Imaging Outcomes,2,2
Disorder of skin,Wound Healing,2013,Microbiological/Virological,3,3
Disorder of skin,Wound Healing,2013,Other Clinical Endpoints,1,1
Disorder of skin,Wound Healing,2013,Pharmacokinetics,10,2
Disorder of skin,Wound Healing,2013,Quality of Life/PRO,5,2
Disorder of skin,Wound Healing,2013,Remission/Cure,2,2
Disorder of skin,Wound Healing,2013,Response Rates,4,4
Disorder of skin,Wound Healing,2013,Survival/Time-to-Event,5,4
Disorder of skin,Wound Healing,2013,Symptoms/Pain,7,4
Disorder of skin,Wound Healing,2013,Treatment Adherence,1,1
Disorder of skin,Wound Healing,2013,Vital Signs/Physical Measures,3,2
Disorder of the genitourinary system,Acute Kidney Injury,2013,Adverse Events/Safety,12,6
Disorder of the genitourinary system,Acute Kidney Injury,2013,Biomarkers/Lab Values,3,2
Disorder of the genitourinary system,Acute Kidney Injury,2013,Hospitalization/Healthcare Use,4,2
Disorder of the genitourinary system,Acute Kidney Injury,2013,Mortality,2,1
Disorder of the genitourinary system,Acute Kidney Injury,2013,Pharmacokinetics,20,2
Disorder of the genitourinary system,Acute Kidney Injury,2013,Quality of Life/PRO,2,1
Disorder of the genitourinary system,Acute Kidney Injury,2013,Survival/Time-to-Event,1,1
Disorder of the genitourinary system,Acute Kidney Injury,2013,Vital Signs/Physical Measures,1,1
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Adverse Events/Safety,7,4
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Biomarkers/Lab Values,5,3
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Disease Activity Scores,1,1
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Functional Status,6,3
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Hospitalization/Healthcare Use,2,1
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Imaging Outcomes,1,1
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Other Clinical Endpoints,1,1
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Quality of Life/PRO,26,6
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Response Rates,3,1
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Symptoms/Pain,17,7
Disorder of the genitourinary system,Benign Prostatic Hyperplasia,2013,Vital Signs/Physical Measures,2,2
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Adverse Events/Safety,6,4
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Biomarkers/Lab Values,55,15
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Functional Status,1,1
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Hospitalization/Healthcare Use,1,1
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Immunogenicity,1,1
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Mental Health Outcomes,1,1
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Pharmacokinetics,22,5
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Quality of Life/PRO,11,4
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Treatment Adherence,1,1
Disorder of the genitourinary system,Chronic Kidney Disease,2013,Vital Signs/Physical Measures,9,4
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Adverse Events/Safety,20,7
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Biomarkers/Lab Values,28,8
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Functional Status,1,1
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Hospitalization/Healthcare Use,7,4
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Imaging Outcomes,1,1
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Immunogenicity,2,2
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Mortality,3,2
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Other Clinical Endpoints,2,2
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Pharmacokinetics,13,3
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Quality of Life/PRO,6,3
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Remission/Cure,1,1
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Response Rates,1,1
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Survival/Time-to-Event,4,3
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Symptoms/Pain,3,3
Disorder of the genitourinary system,End-Stage Renal Disease,2013,Vital Signs/Physical Measures,1,1
Disorder of the genitourinary system,Endometriosis,2013,Adverse Events/Safety,1,1
Disorder of the genitourinary system,Endometriosis,2013,Biomarkers/Lab Values,3,2
Disorder of the genitourinary system,Endometriosis,2013,Disease Control,3,2
Disorder of the genitourinary system,Endometriosis,2013,Hospitalization/Healthcare Use,3,1
Disorder of the genitourinary system,Endometriosis,2013,Other Clinical Endpoints,3,1
Disorder of the genitourinary system,Endometriosis,2013,Quality of Life/PRO,11,4
Disorder of the genitourinary system,Endometriosis,2013,Response Rates,6,3
Disorder of the genitourinary system,Endometriosis,2013,Survival/Time-to-Event,1,1
Disorder of the genitourinary system,Endometriosis,2013,Symptoms/Pain,25,6
Disorder of the genitourinary system,Endometriosis,2013,Treatment Adherence,2,2
Disorder of the genitourinary system,Endometriosis,2013,Vital Signs/Physical Measures,2,1
Disorder of the genitourinary system,Erectile Dysfunction,2013,Adverse Events/Safety,1,1
Disorder of the genitourinary system,Erectile Dysfunction,2013,Disease Control,1,1
Disorder of the genitourinary system,Erectile Dysfunction,2013,Imaging Outcomes,3,2
Disorder of the genitourinary system,Erectile Dysfunction,2013,Quality of Life/PRO,5,3
Disorder of the genitourinary system,Erectile Dysfunction,2013,Survival/Time-to-Event,2,1
Disorder of the genitourinary system,Erectile Dysfunction,2013,Symptoms/Pain,4,3
Disorder of the genitourinary system,Erectile Dysfunction,2013,Vital Signs/Physical Measures,3,2
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Adverse Events/Safety,6,3
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Biomarkers/Lab Values,6,3
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Disease Control,1,1
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Imaging Outcomes,1,1
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Remission/Cure,1,1
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Response Rates,2,2
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Survival/Time-to-Event,4,2
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2013,Vital Signs/Physical Measures,2,2
Disorder of the genitourinary system,IgA Nephropathy,2013,Adverse Events/Safety,15,5
Disorder of the genitourinary system,IgA Nephropathy,2013,Biomarkers/Lab Values,3,2
Disorder of the genitourinary system,IgA Nephropathy,2013,Hospitalization/Healthcare Use,4,2
Disorder of the genitourinary system,IgA Nephropathy,2013,Immunogenicity,2,1
Disorder of the genitourinary system,IgA Nephropathy,2013,Pharmacokinetics,5,2
Disorder of the genitourinary system,IgA Nephropathy,2013,Survival/Time-to-Event,2,1
Disorder of the genitourinary system,Infertility,2013,Adverse Events/Safety,15,6
Disorder of the genitourinary system,Infertility,2013,Biomarkers/Lab Values,13,6
Disorder of the genitourinary system,Infertility,2013,Disease Activity Scores,1,1
Disorder of the genitourinary system,Infertility,2013,Dose-Finding,2,2
Disorder of the genitourinary system,Infertility,2013,Hospitalization/Healthcare Use,2,2
Disorder of the genitourinary system,Infertility,2013,Imaging Outcomes,2,2
Disorder of the genitourinary system,Infertility,2013,Immunogenicity,4,3
Disorder of the genitourinary system,Infertility,2013,Other Clinical Endpoints,5,4
Disorder of the genitourinary system,Infertility,2013,Pharmacokinetics,2,1
Disorder of the genitourinary system,Infertility,2013,Quality of Life/PRO,4,2
Disorder of the genitourinary system,Infertility,2013,Response Rates,17,7
Disorder of the genitourinary system,Infertility,2013,Symptoms/Pain,3,3
Disorder of the genitourinary system,Infertility,2013,Treatment Adherence,1,1
Disorder of the genitourinary system,Infertility,2013,Vital Signs/Physical Measures,3,2
Disorder of the genitourinary system,Interstitial Cystitis,2013,Adverse Events/Safety,1,1
Disorder of the genitourinary system,Interstitial Cystitis,2013,Biomarkers/Lab Values,4,1
Disorder of the genitourinary system,Interstitial Cystitis,2013,Functional Status,4,4
Disorder of the genitourinary system,Interstitial Cystitis,2013,Pharmacokinetics,4,2
Disorder of the genitourinary system,Interstitial Cystitis,2013,Quality of Life/PRO,5,3
Disorder of the genitourinary system,Interstitial Cystitis,2013,Response Rates,1,1
Disorder of the genitourinary system,Interstitial Cystitis,2013,Symptoms/Pain,20,9
Disorder of the genitourinary system,Interstitial Cystitis,2013,Treatment Adherence,1,1
Disorder of the genitourinary system,Interstitial Cystitis,2013,Vital Signs/Physical Measures,2,2
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Adverse Events/Safety,3,3
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Biomarkers/Lab Values,10,3
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Disease Activity Scores,2,2
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Hospitalization/Healthcare Use,1,1
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Pharmacokinetics,24,2
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Quality of Life/PRO,1,1
Disorder of the genitourinary system,Nephrotic Syndrome,2013,Symptoms/Pain,3,3
Disorder of the genitourinary system,Overactive Bladder,2013,Adverse Events/Safety,9,6
Disorder of the genitourinary system,Overactive Bladder,2013,Functional Status,11,2
Disorder of the genitourinary system,Overactive Bladder,2013,Mental Health Outcomes,1,1
Disorder of the genitourinary system,Overactive Bladder,2013,Pharmacokinetics,6,1
Disorder of the genitourinary system,Overactive Bladder,2013,Quality of Life/PRO,40,9
Disorder of the genitourinary system,Overactive Bladder,2013,Response Rates,9,6
Disorder of the genitourinary system,Overactive Bladder,2013,Symptoms/Pain,44,11
Disorder of the genitourinary system,Overactive Bladder,2013,Treatment Adherence,1,1
Disorder of the genitourinary system,Overactive Bladder,2013,Vital Signs/Physical Measures,15,5
Disorder of the genitourinary system,Polycystic Kidney Disease,2013,Adverse Events/Safety,1,1
Disorder of the genitourinary system,Polycystic Kidney Disease,2013,Biomarkers/Lab Values,4,2
Disorder of the genitourinary system,Polycystic Kidney Disease,2013,Imaging Outcomes,1,1
Disorder of the genitourinary system,Polycystic Kidney Disease,2013,Symptoms/Pain,5,2
Disorder of the genitourinary system,Polycystic Kidney Disease,2013,Vital Signs/Physical Measures,1,1
Disorder of the genitourinary system,Preeclampsia,2013,Adverse Events/Safety,1,1
Disorder of the genitourinary system,Pregnancy Study,2013,Adverse Events/Safety,11,5
Disorder of the genitourinary system,Pregnancy Study,2013,Biomarkers/Lab Values,22,4
Disorder of the genitourinary system,Pregnancy Study,2013,Functional Status,3,1
Disorder of the genitourinary system,Pregnancy Study,2013,Hospitalization/Healthcare Use,11,4
Disorder of the genitourinary system,Pregnancy Study,2013,Imaging Outcomes,2,1
Disorder of the genitourinary system,Pregnancy Study,2013,Immunogenicity,2,1
Disorder of the genitourinary system,Pregnancy Study,2013,Microbiological/Virological,1,1
Disorder of the genitourinary system,Pregnancy Study,2013,Mortality,4,2
Disorder of the genitourinary system,Pregnancy Study,2013,Other Clinical Endpoints,7,4
Disorder of the genitourinary system,Pregnancy Study,2013,Pharmacokinetics,1,1
Disorder of the genitourinary system,Pregnancy Study,2013,Quality of Life/PRO,6,2
Disorder of the genitourinary system,Pregnancy Study,2013,Response Rates,3,2
Disorder of the genitourinary system,Pregnancy Study,2013,Survival/Time-to-Event,1,1
Disorder of the genitourinary system,Pregnancy Study,2013,Symptoms/Pain,1,1
Disorder of the genitourinary system,Pregnancy Study,2013,Treatment Adherence,6,4
Disorder of the genitourinary system,Pregnancy Study,2013,Vital Signs/Physical Measures,4,4
Disorder of the genitourinary system,Urinary Incontinence,2013,Adverse Events/Safety,12,8
Disorder of the genitourinary system,Urinary Incontinence,2013,Biomarkers/Lab Values,2,2
Disorder of the genitourinary system,Urinary Incontinence,2013,Disease Control,5,5
Disorder of the genitourinary system,Urinary Incontinence,2013,Functional Status,11,4
Disorder of the genitourinary system,Urinary Incontinence,2013,Hospitalization/Healthcare Use,5,3
Disorder of the genitourinary system,Urinary Incontinence,2013,Imaging Outcomes,1,1
Disorder of the genitourinary system,Urinary Incontinence,2013,Mental Health Outcomes,3,1
Disorder of the genitourinary system,Urinary Incontinence,2013,Quality of Life/PRO,85,11
Disorder of the genitourinary system,Urinary Incontinence,2013,Response Rates,4,2
Disorder of the genitourinary system,Urinary Incontinence,2013,Survival/Time-to-Event,2,1
Disorder of the genitourinary system,Urinary Incontinence,2013,Symptoms/Pain,44,16
Disorder of the genitourinary system,Urinary Incontinence,2013,Treatment Adherence,1,1
Disorder of the genitourinary system,Urinary Incontinence,2013,Vital Signs/Physical Measures,3,2
Disorder of the genitourinary system,Uterine Fibroids,2013,Adverse Events/Safety,6,3
Disorder of the genitourinary system,Uterine Fibroids,2013,Biomarkers/Lab Values,1,1
Disorder of the genitourinary system,Uterine Fibroids,2013,Disease Activity Scores,2,2
Disorder of the genitourinary system,Uterine Fibroids,2013,Disease Control,2,2
Disorder of the genitourinary system,Uterine Fibroids,2013,Functional Status,2,1
Disorder of the genitourinary system,Uterine Fibroids,2013,Imaging Outcomes,1,1
Disorder of the genitourinary system,Uterine Fibroids,2013,Quality of Life/PRO,2,2
Disorder of the genitourinary system,Uterine Fibroids,2013,Remission/Cure,1,1
