rank,semantic_pattern,n_distinct_titles,n_endpoint_records,pct_distinct_titles,pct_endpoint_records
104,object+baseline_or_comparator+composite_or_multiple_objects+participant_population,4,4,0.001025,0.000855
105,object+baseline_or_comparator+explicit_unit+composite_or_multiple_objects,4,4,0.001025,0.000855
106,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+composite_or_multiple_objects+participant_population,4,4,0.001025,0.000855
107,object+temporal_expression+baseline_or_comparator+composite_or_multiple_objects+participant_population,3,3,0.000769,0.000641
108,object+temporal_expression+instrument_or_scale+explicit_unit+composite_or_multiple_objects+participant_population,3,3,0.000769,0.000641
109,object+baseline_or_comparator+instrument_or_scale+composite_or_multiple_objects,2,2,0.000513,0.000427
110,object+temporal_expression+baseline_or_comparator+explicit_unit+composite_or_multiple_objects+participant_population,2,2,0.000513,0.000427
111,object+temporal_expression+baseline_or_comparator+instrument_or_scale+explicit_unit+composite_or_multiple_objects,2,2,0.000513,0.000427
112,object+baseline_or_comparator+explicit_unit+composite_or_multiple_objects+participant_population,1,1,0.000256,0.000214
113,object+baseline_or_comparator+instrument_or_scale+explicit_unit+participant_population,1,1,0.000256,0.000214
114,object+explicit_unit+composite_or_multiple_objects+participant_population,1,1,0.000256,0.000214
115,object+measurement_operator+baseline_or_comparator+explicit_unit+composite_or_multiple_objects,1,1,0.000256,0.000214
116,object+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit+composite_or_multiple_objects+participant_population,1,1,0.000256,0.000214
117,object+measurement_operator+instrument_or_scale+explicit_unit+composite_or_multiple_objects+participant_population,1,1,0.000256,0.000214
