disease_area,disease,phase,completion_period,period_trial_count,outcome_normalized,percentage,rank,outcome_position
Disorder of endocrine system,Acromegaly,Phase 2,2021-2025,6,CHANGE FROM BASELINE IN HEIGHT,100.0000,1.0000,2
Disorder of endocrine system,Acromegaly,Phase 2,2021-2025,6,CHANGE IN BODY MASS INDEX,66.6667,3.0000,0
Disorder of endocrine system,Acromegaly,Phase 2,2021-2025,6,CHANGE FROM BASELINE IN RESPIRATORY RATE,33.3333,4.0000,4
Disorder of endocrine system,Acromegaly,Phase 2,2021-2025,6,CHANGE FROM BASELINE IN LOWER FACIAL VOLUME,0.0000,5.0000,3
Disorder of endocrine system,Acromegaly,Phase 3,2006-2010,5,CHANGE IN TUMOR VOLUME,100.0000,1.0000,9
Disorder of endocrine system,Acromegaly,Phase 3,2006-2010,5,CHANGE IN ACROQOL SCORE,50.0000,2.0000,6
Disorder of endocrine system,Acromegaly,Phase 3,2006-2010,5,CHANGE IN TUMOR SIZE,50.0000,2.0000,8
Disorder of endocrine system,Acromegaly,Phase 3,2006-2010,5,DURATION OF RESPONSE,0.0000,4.0000,10
Disorder of endocrine system,Acromegaly,Phase 3,2006-2010,5,PASIREOTIDE TROUGH CONCENTRATIONS,0.0000,4.0000,11
Disorder of endocrine system,Acromegaly,Phase 3,2011-2015,2,CHANGE IN ACROQOL SCORE,100.0000,1.0000,6
Disorder of endocrine system,Acromegaly,Phase 3,2011-2015,2,CHANGE IN TUMOR SIZE,0.0000,2.0000,8
Disorder of endocrine system,Acromegaly,Phase 3,2011-2015,2,CHANGE IN TUMOR VOLUME,0.0000,2.0000,9
Disorder of endocrine system,Acromegaly,Phase 3,2011-2015,2,DURATION OF RESPONSE,0.0000,2.0000,10
Disorder of endocrine system,Acromegaly,Phase 3,2011-2015,2,PASIREOTIDE TROUGH CONCENTRATIONS,0.0000,2.0000,11
Disorder of endocrine system,Acromegaly,Phase 3,2016-2020,6,CHANGE IN TUMOR SIZE,100.0000,1.0000,8
Disorder of endocrine system,Acromegaly,Phase 3,2016-2020,6,CHANGE IN TUMOR VOLUME,100.0000,1.0000,9
Disorder of endocrine system,Acromegaly,Phase 3,2016-2020,6,DURATION OF RESPONSE,75.0000,3.0000,10
Disorder of endocrine system,Acromegaly,Phase 3,2016-2020,6,PASIREOTIDE TROUGH CONCENTRATIONS,75.0000,3.0000,11
Disorder of endocrine system,Acromegaly,Phase 3,2016-2020,6,CHANGE IN ACROQOL SCORE,0.0000,5.0000,6
Disorder of endocrine system,Acromegaly,Phase 3,2021-2025,3,CHANGE IN ACROQOL SCORE,0.0000,1.0000,6
Disorder of endocrine system,Acromegaly,Phase 3,2021-2025,3,CHANGE IN TUMOR SIZE,0.0000,1.0000,8
Disorder of endocrine system,Acromegaly,Phase 3,2021-2025,3,CHANGE IN TUMOR VOLUME,0.0000,1.0000,9
Disorder of endocrine system,Acromegaly,Phase 3,2021-2025,3,DURATION OF RESPONSE,0.0000,1.0000,10
Disorder of endocrine system,Acromegaly,Phase 3,2021-2025,3,PASIREOTIDE TROUGH CONCENTRATIONS,0.0000,1.0000,11
Disorder of endocrine system,Acromegaly,Phase 4,2006-2010,2,PLASMA DRUG CONCENTRATION,0.0000,1.0000,14
Disorder of endocrine system,Acromegaly,Phase 4,2006-2010,2,AVERAGE TIME FROM END OF SURGERY TO LEAVING THE OPERATING ROOM,0.0000,1.0000,15
Disorder of endocrine system,Acromegaly,Phase 4,2006-2010,2,AVERAGE TIME TO DISCHARGE,0.0000,1.0000,16
Disorder of endocrine system,Acromegaly,Phase 4,2006-2010,2,CHANGE IN C-REACTIVE PROTEIN LEVELS,0.0000,1.0000,17
Disorder of endocrine system,Acromegaly,Phase 4,2006-2010,2,CHANGE IN LIPID LEVELS,0.0000,1.0000,18
Disorder of endocrine system,Acromegaly,Phase 4,2011-2015,5,PLASMA DRUG CONCENTRATION,50.0000,1.0000,14
Disorder of endocrine system,Acromegaly,Phase 4,2011-2015,5,CHANGE IN C-REACTIVE PROTEIN LEVELS,50.0000,1.0000,17
Disorder of endocrine system,Acromegaly,Phase 4,2011-2015,5,CHANGE IN LIPID LEVELS,50.0000,1.0000,18
Disorder of endocrine system,Acromegaly,Phase 4,2011-2015,5,AVERAGE TIME FROM END OF SURGERY TO LEAVING THE OPERATING ROOM,0.0000,4.0000,15
Disorder of endocrine system,Acromegaly,Phase 4,2011-2015,5,AVERAGE TIME TO DISCHARGE,0.0000,4.0000,16
Disorder of endocrine system,Acromegaly,Phase 4,2016-2020,2,PLASMA DRUG CONCENTRATION,50.0000,1.0000,14
Disorder of endocrine system,Acromegaly,Phase 4,2016-2020,2,AVERAGE TIME FROM END OF SURGERY TO LEAVING THE OPERATING ROOM,50.0000,1.0000,15
Disorder of endocrine system,Acromegaly,Phase 4,2016-2020,2,AVERAGE TIME TO DISCHARGE,50.0000,1.0000,16
Disorder of endocrine system,Acromegaly,Phase 4,2016-2020,2,CHANGE IN C-REACTIVE PROTEIN LEVELS,0.0000,4.0000,17
Disorder of endocrine system,Acromegaly,Phase 4,2016-2020,2,CHANGE IN LIPID LEVELS,0.0000,4.0000,18
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2006-2010,2,ACCEPTABILITY OF ACTIGRAPHY,0.0000,1.0000,11
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2006-2010,2,ACCEPTABILITY OF DAILY DIARY SURVEYS,0.0000,1.0000,12
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2006-2010,2,CARDIAC ANXIETY SCORE,0.0000,1.0000,22
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2006-2010,2,CHANGE IN TRAIT MINDFULNESS SCORE,0.0000,1.0000,23
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2006-2010,2,COGNITIVE DE-CENTERING SCORE,0.0000,1.0000,24
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2011-2015,2,ACCEPTABILITY OF ACTIGRAPHY,0.0000,1.0000,11
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2011-2015,2,ACCEPTABILITY OF DAILY DIARY SURVEYS,0.0000,1.0000,12
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2011-2015,2,CARDIAC ANXIETY SCORE,0.0000,1.0000,22
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2011-2015,2,CHANGE IN TRAIT MINDFULNESS SCORE,0.0000,1.0000,23
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2011-2015,2,COGNITIVE DE-CENTERING SCORE,0.0000,1.0000,24
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2021-2025,1,ACCEPTABILITY OF ACTIGRAPHY,100.0000,1.0000,11
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2021-2025,1,ACCEPTABILITY OF DAILY DIARY SURVEYS,100.0000,1.0000,12
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2021-2025,1,CARDIAC ANXIETY SCORE,100.0000,1.0000,22
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2021-2025,1,CHANGE IN TRAIT MINDFULNESS SCORE,100.0000,1.0000,23
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,2021-2025,1,COGNITIVE DE-CENTERING SCORE,100.0000,1.0000,24
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2006-2010,9,P2Y12 REACTION UNITS,100.0000,1.0000,9
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2006-2010,9,CHANGE IN BNP,33.3333,2.0000,5
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2006-2010,9,CHANGE IN TOTAL EXERCISE TIME,25.0000,3.0000,7
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2006-2010,9,COMPOSITE CARDIOVASCULAR EVENTS,25.0000,3.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2006-2010,9,ACTIVATED CLOTTING TIME,0.0000,5.0000,13
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2011-2015,7,COMPOSITE CARDIOVASCULAR EVENTS,100.0000,1.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2011-2015,7,P2Y12 REACTION UNITS,50.0000,2.0000,9
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2011-2015,7,CHANGE IN BNP,33.3333,3.0000,5
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2011-2015,7,CHANGE IN TOTAL EXERCISE TIME,33.3333,3.0000,7
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2011-2015,7,ACTIVATED CLOTTING TIME,0.0000,5.0000,13
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2016-2020,5,ACTIVATED CLOTTING TIME,50.0000,1.0000,13
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2016-2020,5,CHANGE IN BNP,0.0000,2.0000,5
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2016-2020,5,CHANGE IN TOTAL EXERCISE TIME,0.0000,2.0000,7
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2016-2020,5,COMPOSITE CARDIOVASCULAR EVENTS,0.0000,2.0000,0
