disease_area,disease,phase,completion_period,period_trial_count,outcome_normalized,percentage,rank,outcome_position
Neoplastic disease,Multiple Myeloma,Phase 2,2011-2015,80,DURATION OF RESPONSE,15.8910,5.0000,3
Neoplastic disease,Multiple Myeloma,Phase 2,2016-2020,90,PROGRESSION-FREE SURVIVAL,52.4029,1.0000,1
Neoplastic disease,Multiple Myeloma,Phase 2,2016-2020,90,OBJECTIVE RESPONSE RATE,45.1563,2.0000,0
Neoplastic disease,Multiple Myeloma,Phase 2,2016-2020,90,OVERALL SURVIVAL,38.1875,3.0000,2
Neoplastic disease,Multiple Myeloma,Phase 2,2016-2020,90,DURATION OF RESPONSE,19.1734,4.0000,3
Neoplastic disease,Multiple Myeloma,Phase 2,2016-2020,90,TIME TO PROGRESSION,15.2881,5.0000,4
Neoplastic disease,Multiple Myeloma,Phase 2,2021-2025,67,OBJECTIVE RESPONSE RATE,53.8703,1.0000,0
Neoplastic disease,Multiple Myeloma,Phase 2,2021-2025,67,PROGRESSION-FREE SURVIVAL,46.9583,2.0000,1
Neoplastic disease,Multiple Myeloma,Phase 2,2021-2025,67,OVERALL SURVIVAL,39.6199,3.0000,2
Neoplastic disease,Multiple Myeloma,Phase 2,2021-2025,67,DURATION OF RESPONSE,20.5691,4.0000,3
Neoplastic disease,Multiple Myeloma,Phase 2,2021-2025,67,TIME TO PROGRESSION,15.7486,5.0000,4
Neoplastic disease,Multiple Myeloma,Phase 3,2006-2010,11,OBJECTIVE RESPONSE RATE,45.8333,1.0000,0
Neoplastic disease,Multiple Myeloma,Phase 3,2006-2010,11,DURATION OF RESPONSE,33.3333,2.0000,3
Neoplastic disease,Multiple Myeloma,Phase 3,2006-2010,11,PROGRESSION-FREE SURVIVAL,29.1667,3.0000,1
Neoplastic disease,Multiple Myeloma,Phase 3,2006-2010,11,OVERALL SURVIVAL,27.7778,4.0000,2
Neoplastic disease,Multiple Myeloma,Phase 3,2006-2010,11,TIME TO PROGRESSION,25.0000,5.0000,4
Neoplastic disease,Multiple Myeloma,Phase 3,2011-2015,20,PROGRESSION-FREE SURVIVAL,68.7500,1.0000,1
Neoplastic disease,Multiple Myeloma,Phase 3,2011-2015,20,OVERALL SURVIVAL,68.7500,1.0000,2
Neoplastic disease,Multiple Myeloma,Phase 3,2011-2015,20,OBJECTIVE RESPONSE RATE,41.6667,3.0000,0
Neoplastic disease,Multiple Myeloma,Phase 3,2011-2015,20,TIME TO PROGRESSION,37.5000,4.0000,4
Neoplastic disease,Multiple Myeloma,Phase 3,2011-2015,20,DURATION OF RESPONSE,31.2500,5.0000,3
Neoplastic disease,Multiple Myeloma,Phase 3,2016-2020,16,PROGRESSION-FREE SURVIVAL,90.0000,1.0000,1
Neoplastic disease,Multiple Myeloma,Phase 3,2016-2020,16,OVERALL SURVIVAL,90.0000,1.0000,2
Neoplastic disease,Multiple Myeloma,Phase 3,2016-2020,16,OBJECTIVE RESPONSE RATE,66.6667,3.0000,0
Neoplastic disease,Multiple Myeloma,Phase 3,2016-2020,16,DURATION OF RESPONSE,50.0000,4.0000,3
Neoplastic disease,Multiple Myeloma,Phase 3,2016-2020,16,TIME TO PROGRESSION,50.0000,4.0000,4
Neoplastic disease,Multiple Myeloma,Phase 3,2021-2025,21,PROGRESSION-FREE SURVIVAL,94.2857,1.0000,1
Neoplastic disease,Multiple Myeloma,Phase 3,2021-2025,21,OVERALL SURVIVAL,93.8095,2.0000,2
Neoplastic disease,Multiple Myeloma,Phase 3,2021-2025,21,OBJECTIVE RESPONSE RATE,93.8095,2.0000,0
Neoplastic disease,Multiple Myeloma,Phase 3,2021-2025,21,DURATION OF RESPONSE,68.4524,4.0000,3
Neoplastic disease,Multiple Myeloma,Phase 3,2021-2025,21,TIME TO PROGRESSION,64.8810,5.0000,4
Neoplastic disease,Multiple Myeloma,Phase 4,2006-2010,1,CHANGE FROM BASELINE IN URINARY N-TELOPEPTIDE OF TYPE 1 COLLAGEN,0.0000,1.0000,10
Neoplastic disease,Multiple Myeloma,Phase 4,2006-2010,1,COMPLETE RESPONSE RATE,0.0000,1.0000,6
Neoplastic disease,Multiple Myeloma,Phase 4,2006-2010,1,FINANCIAL TOXICITY,0.0000,1.0000,11
Neoplastic disease,Multiple Myeloma,Phase 4,2006-2010,1,GLOBAL HEALTH STATUS/QOL SCORE,0.0000,1.0000,12
Neoplastic disease,Multiple Myeloma,Phase 4,2006-2010,1,NUMBER OF ADVERSE EVENTS,0.0000,1.0000,13
Neoplastic disease,Multiple Myeloma,Phase 4,2011-2015,1,CHANGE FROM BASELINE IN URINARY N-TELOPEPTIDE OF TYPE 1 COLLAGEN,100.0000,1.0000,10
Neoplastic disease,Multiple Myeloma,Phase 4,2011-2015,1,COMPLETE RESPONSE RATE,0.0000,2.0000,6
Neoplastic disease,Multiple Myeloma,Phase 4,2011-2015,1,FINANCIAL TOXICITY,0.0000,2.0000,11
Neoplastic disease,Multiple Myeloma,Phase 4,2011-2015,1,GLOBAL HEALTH STATUS/QOL SCORE,0.0000,2.0000,12
Neoplastic disease,Multiple Myeloma,Phase 4,2011-2015,1,NUMBER OF ADVERSE EVENTS,0.0000,2.0000,13
Neoplastic disease,Multiple Myeloma,Phase 4,2016-2020,1,COMPLETE RESPONSE RATE,100.0000,1.0000,6
Neoplastic disease,Multiple Myeloma,Phase 4,2016-2020,1,CHANGE FROM BASELINE IN URINARY N-TELOPEPTIDE OF TYPE 1 COLLAGEN,0.0000,2.0000,10
Neoplastic disease,Multiple Myeloma,Phase 4,2016-2020,1,FINANCIAL TOXICITY,0.0000,2.0000,11
Neoplastic disease,Multiple Myeloma,Phase 4,2016-2020,1,GLOBAL HEALTH STATUS/QOL SCORE,0.0000,2.0000,12
Neoplastic disease,Multiple Myeloma,Phase 4,2016-2020,1,NUMBER OF ADVERSE EVENTS,0.0000,2.0000,13
Neoplastic disease,Multiple Myeloma,Phase 4,2021-2025,2,FINANCIAL TOXICITY,100.0000,1.0000,11
Neoplastic disease,Multiple Myeloma,Phase 4,2021-2025,2,GLOBAL HEALTH STATUS/QOL SCORE,100.0000,1.0000,12
Neoplastic disease,Multiple Myeloma,Phase 4,2021-2025,2,NUMBER OF ADVERSE EVENTS,100.0000,1.0000,13
Neoplastic disease,Multiple Myeloma,Phase 4,2021-2025,2,CHANGE FROM BASELINE IN URINARY N-TELOPEPTIDE OF TYPE 1 COLLAGEN,0.0000,4.0000,10
Neoplastic disease,Multiple Myeloma,Phase 4,2021-2025,2,COMPLETE RESPONSE RATE,0.0000,4.0000,6
Disorder of body system,Multiple Organ Failure,Phase 1,2006-2010,1,NUMBER OF PARTICIPANTS WITH PAIN,100.0000,1.0000,23
Disorder of body system,Multiple Organ Failure,Phase 1,2006-2010,1,NUMBER OF PARTICIPANTS WITH SUCCESSFULLY PLACED EASI LINES,100.0000,1.0000,24
Disorder of body system,Multiple Organ Failure,Phase 1,2006-2010,1,SYSTEMIC ABSORPTION OF TRACER-LABELLED GLUCOSE,100.0000,1.0000,25
Disorder of body system,Multiple Organ Failure,Phase 1,2006-2010,1,INCIDENCE AND SEVERITY OF ADVERSE EVENTS,0.0000,4.0000,17
Disorder of body system,Multiple Organ Failure,Phase 1,2006-2010,1,MDRO INFECTION STATUS,0.0000,4.0000,22
Disorder of body system,Multiple Organ Failure,Phase 1,2016-2020,1,INCIDENCE AND SEVERITY OF ADVERSE EVENTS,100.0000,1.0000,17
Disorder of body system,Multiple Organ Failure,Phase 1,2016-2020,1,MDRO INFECTION STATUS,100.0000,1.0000,22
Disorder of body system,Multiple Organ Failure,Phase 1,2016-2020,1,NUMBER OF PARTICIPANTS WITH PAIN,0.0000,3.0000,23
Disorder of body system,Multiple Organ Failure,Phase 1,2016-2020,1,NUMBER OF PARTICIPANTS WITH SUCCESSFULLY PLACED EASI LINES,0.0000,3.0000,24
Disorder of body system,Multiple Organ Failure,Phase 1,2016-2020,1,SYSTEMIC ABSORPTION OF TRACER-LABELLED GLUCOSE,0.0000,3.0000,25
Disorder of body system,Multiple Organ Failure,Phase 2,2016-2020,2,28-DAY MORTALITY,100.0000,1.0000,0
Disorder of body system,Multiple Organ Failure,Phase 2,2016-2020,2,90-DAY MORTALITY,100.0000,1.0000,3
Disorder of body system,Multiple Organ Failure,Phase 2,2016-2020,2,CHANGE FROM BASELINE IN AMPK MUSCLE PROTEIN LEVELS,100.0000,1.0000,6
Disorder of body system,Multiple Organ Failure,Phase 2,2016-2020,2,CHANGE FROM BASELINE IN PGC-1Α MUSCLE PROTEIN LEVELS,100.0000,1.0000,7
Disorder of body system,Multiple Organ Failure,Phase 2,2016-2020,2,CHANGE FROM BASELINE IN SIRT1 MUSCLE PROTEIN LEVELS,100.0000,1.0000,8
Disorder of body system,Multiple Organ Failure,Phase 3,2006-2010,1,6-MINUTE WALK DISTANCE,100.0000,1.0000,2
Disorder of body system,Multiple Organ Failure,Phase 3,2006-2010,1,5-YEAR DISEASE-FREE SURVIVAL,0.0000,2.0000,1
Disorder of body system,Multiple Organ Failure,Phase 3,2006-2010,1,ASPARAGINASE-RELATED TOXICITY RATE,0.0000,2.0000,4
Disorder of body system,Multiple Organ Failure,Phase 3,2006-2010,1,INDUCTION INFECTION TOXICITY RATE,0.0000,2.0000,18
Disorder of body system,Multiple Organ Failure,Phase 3,2006-2010,1,INDUCTION THERAPEUTIC NADIR SERUM ASPARAGINASE ACTIVITY RATE,0.0000,2.0000,19
Disorder of body system,Multiple Organ Failure,Phase 3,2011-2015,1,5-YEAR DISEASE-FREE SURVIVAL,0.0000,1.0000,1
Disorder of body system,Multiple Organ Failure,Phase 3,2011-2015,1,6-MINUTE WALK DISTANCE,0.0000,1.0000,2
Disorder of body system,Multiple Organ Failure,Phase 3,2011-2015,1,ASPARAGINASE-RELATED TOXICITY RATE,0.0000,1.0000,4
Disorder of body system,Multiple Organ Failure,Phase 3,2011-2015,1,INDUCTION INFECTION TOXICITY RATE,0.0000,1.0000,18
Disorder of body system,Multiple Organ Failure,Phase 3,2011-2015,1,INDUCTION THERAPEUTIC NADIR SERUM ASPARAGINASE ACTIVITY RATE,0.0000,1.0000,19
Disorder of body system,Multiple Organ Failure,Phase 3,2016-2020,1,5-YEAR DISEASE-FREE SURVIVAL,100.0000,1.0000,1
Disorder of body system,Multiple Organ Failure,Phase 3,2016-2020,1,ASPARAGINASE-RELATED TOXICITY RATE,100.0000,1.0000,4
Disorder of body system,Multiple Organ Failure,Phase 3,2016-2020,1,INDUCTION INFECTION TOXICITY RATE,100.0000,1.0000,18
Disorder of body system,Multiple Organ Failure,Phase 3,2016-2020,1,INDUCTION THERAPEUTIC NADIR SERUM ASPARAGINASE ACTIVITY RATE,100.0000,1.0000,19
Disorder of body system,Multiple Organ Failure,Phase 3,2016-2020,1,6-MINUTE WALK DISTANCE,0.0000,5.0000,2
Disorder of body system,Multiple Organ Failure,Phase 4,2006-2010,2,AUC OF BLOOD CONCENTRATION-TIME OF METFORMIN,50.0000,1.0000,5
Disorder of body system,Multiple Organ Failure,Phase 4,2006-2010,2,CHANGE IN ALPHA CORTICAL ACTIVITY,0.0000,2.0000,9
Disorder of body system,Multiple Organ Failure,Phase 4,2006-2010,2,CHANGE IN CEREBRAL BLOOD FLOW,0.0000,2.0000,11
Disorder of body system,Multiple Organ Failure,Phase 4,2006-2010,2,CHANGE IN COGNITIVE PERFORMANCE,0.0000,2.0000,13
Disorder of body system,Multiple Organ Failure,Phase 4,2006-2010,2,COMPLIANCE RATE,0.0000,2.0000,14
Disorder of body system,Multiple Organ Failure,Phase 4,2011-2015,1,AUC OF BLOOD CONCENTRATION-TIME OF METFORMIN,0.0000,1.0000,5
Disorder of body system,Multiple Organ Failure,Phase 4,2011-2015,1,CHANGE IN ALPHA CORTICAL ACTIVITY,0.0000,1.0000,9
Disorder of body system,Multiple Organ Failure,Phase 4,2011-2015,1,CHANGE IN CEREBRAL BLOOD FLOW,0.0000,1.0000,11
Disorder of body system,Multiple Organ Failure,Phase 4,2011-2015,1,CHANGE IN COGNITIVE PERFORMANCE,0.0000,1.0000,13
Disorder of body system,Multiple Organ Failure,Phase 4,2011-2015,1,COMPLIANCE RATE,0.0000,1.0000,14
Disorder of body system,Multiple Organ Failure,Phase 4,2016-2020,2,CHANGE IN ALPHA CORTICAL ACTIVITY,100.0000,1.0000,9
Disorder of body system,Multiple Organ Failure,Phase 4,2016-2020,2,CHANGE IN CEREBRAL BLOOD FLOW,100.0000,1.0000,11
Disorder of body system,Multiple Organ Failure,Phase 4,2016-2020,2,CHANGE IN COGNITIVE PERFORMANCE,100.0000,1.0000,13
Disorder of body system,Multiple Organ Failure,Phase 4,2016-2020,2,AUC OF BLOOD CONCENTRATION-TIME OF METFORMIN,0.0000,4.0000,5
Disorder of body system,Multiple Organ Failure,Phase 4,2016-2020,2,COMPLIANCE RATE,0.0000,4.0000,14
Disorder of body system,Multiple Organ Failure,Phase 4,2021-2025,2,COMPLIANCE RATE,100.0000,1.0000,14
Disorder of body system,Multiple Organ Failure,Phase 4,2021-2025,2,AUC OF BLOOD CONCENTRATION-TIME OF METFORMIN,0.0000,2.0000,5
Disorder of body system,Multiple Organ Failure,Phase 4,2021-2025,2,CHANGE IN ALPHA CORTICAL ACTIVITY,0.0000,2.0000,9
Disorder of body system,Multiple Organ Failure,Phase 4,2021-2025,2,CHANGE IN CEREBRAL BLOOD FLOW,0.0000,2.0000,11
Disorder of body system,Multiple Organ Failure,Phase 4,2021-2025,2,CHANGE IN COGNITIVE PERFORMANCE,0.0000,2.0000,13
Neurological disorder,Multiple Sclerosis,Phase 1,2006-2010,2,MAXIMUM PLASMA CONCENTRATION,100.0000,1.0000,6
Neurological disorder,Multiple Sclerosis,Phase 1,2006-2010,2,TIME TO MAXIMUM CONCENTRATION,100.0000,1.0000,13
Neurological disorder,Multiple Sclerosis,Phase 1,2006-2010,2,AUC FROM 0 TO INFINITY,100.0000,1.0000,14
Neurological disorder,Multiple Sclerosis,Phase 1,2006-2010,2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,4.0000,2
Neurological disorder,Multiple Sclerosis,Phase 1,2006-2010,2,PLASMA DRUG CONCENTRATION,0.0000,4.0000,7
Neurological disorder,Multiple Sclerosis,Phase 1,2011-2015,3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,100.0000,1.0000,2
Neurological disorder,Multiple Sclerosis,Phase 1,2011-2015,3,PLASMA DRUG CONCENTRATION,75.0000,2.0000,7
Neurological disorder,Multiple Sclerosis,Phase 1,2011-2015,3,MAXIMUM PLASMA CONCENTRATION,0.0000,3.0000,6
Neurological disorder,Multiple Sclerosis,Phase 1,2011-2015,3,TIME TO MAXIMUM CONCENTRATION,0.0000,3.0000,13
Neurological disorder,Multiple Sclerosis,Phase 1,2011-2015,3,AUC FROM 0 TO INFINITY,0.0000,3.0000,14
Neurological disorder,Multiple Sclerosis,Phase 1,2016-2020,3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,100.0000,1.0000,2
Neurological disorder,Multiple Sclerosis,Phase 1,2016-2020,3,TIME TO MAXIMUM CONCENTRATION,100.0000,1.0000,13
Neurological disorder,Multiple Sclerosis,Phase 1,2016-2020,3,AUC FROM 0 TO INFINITY,75.0000,3.0000,14
Neurological disorder,Multiple Sclerosis,Phase 1,2016-2020,3,MAXIMUM PLASMA CONCENTRATION,0.0000,4.0000,6
Neurological disorder,Multiple Sclerosis,Phase 1,2016-2020,3,PLASMA DRUG CONCENTRATION,0.0000,4.0000,7
Neurological disorder,Multiple Sclerosis,Phase 1,2021-2025,4,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,100.0000,1.0000,2
Neurological disorder,Multiple Sclerosis,Phase 1,2021-2025,4,MAXIMUM PLASMA CONCENTRATION,83.3333,2.0000,6
Neurological disorder,Multiple Sclerosis,Phase 1,2021-2025,4,PLASMA DRUG CONCENTRATION,75.0000,3.0000,7
Neurological disorder,Multiple Sclerosis,Phase 1,2021-2025,4,TIME TO MAXIMUM CONCENTRATION,75.0000,3.0000,13
Neurological disorder,Multiple Sclerosis,Phase 1,2021-2025,4,AUC FROM 0 TO INFINITY,0.0000,5.0000,14
Neurological disorder,Multiple Sclerosis,Phase 2,2006-2010,12,CHANGE IN EDSS SCORE,100.0000,1.0000,1
Neurological disorder,Multiple Sclerosis,Phase 2,2006-2010,12,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,100.0000,1.0000,3
Neurological disorder,Multiple Sclerosis,Phase 2,2006-2010,12,ANNUALIZED RELAPSE RATE,66.6667,3.0000,0
Neurological disorder,Multiple Sclerosis,Phase 2,2006-2010,12,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,58.3333,4.0000,2
Neurological disorder,Multiple Sclerosis,Phase 2,2006-2010,12,MRI LESION COUNT,25.0000,5.0000,4
Neurological disorder,Multiple Sclerosis,Phase 2,2011-2015,38,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,42.8571,1.0000,3
Neurological disorder,Multiple Sclerosis,Phase 2,2011-2015,38,MRI LESION COUNT,25.7631,2.0000,4
Neurological disorder,Multiple Sclerosis,Phase 2,2011-2015,38,ANNUALIZED RELAPSE RATE,24.6693,3.0000,0
Neurological disorder,Multiple Sclerosis,Phase 2,2011-2015,38,CHANGE IN EDSS SCORE,23.2410,4.0000,1
Neurological disorder,Multiple Sclerosis,Phase 2,2011-2015,38,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,14.9573,5.0000,2
Neurological disorder,Multiple Sclerosis,Phase 2,2016-2020,25,ANNUALIZED RELAPSE RATE,31.3131,1.0000,0
Neurological disorder,Multiple Sclerosis,Phase 2,2016-2020,25,CHANGE IN EDSS SCORE,27.4747,2.0000,1
Neurological disorder,Multiple Sclerosis,Phase 2,2016-2020,25,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,23.8384,3.0000,2
Neurological disorder,Multiple Sclerosis,Phase 2,2016-2020,25,MRI LESION COUNT,20.0000,4.0000,4
Neurological disorder,Multiple Sclerosis,Phase 2,2016-2020,25,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,14.5455,5.0000,3
Neurological disorder,Multiple Sclerosis,Phase 2,2021-2025,24,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,47.3214,1.0000,2
Neurological disorder,Multiple Sclerosis,Phase 2,2021-2025,24,ANNUALIZED RELAPSE RATE,41.4286,2.0000,0
Neurological disorder,Multiple Sclerosis,Phase 2,2021-2025,24,CHANGE IN EDSS SCORE,36.5476,3.0000,1
Neurological disorder,Multiple Sclerosis,Phase 2,2021-2025,24,MRI LESION COUNT,14.2857,4.0000,4
Neurological disorder,Multiple Sclerosis,Phase 2,2021-2025,24,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,5.0000,3
Neurological disorder,Multiple Sclerosis,Phase 3,2006-2010,25,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,33.3333,1.0000,3
Neurological disorder,Multiple Sclerosis,Phase 3,2006-2010,25,ANNUALIZED RELAPSE RATE,11.8056,2.0000,0
Neurological disorder,Multiple Sclerosis,Phase 3,2006-2010,25,CHANGE IN EDSS SCORE,11.1111,3.0000,1
Neurological disorder,Multiple Sclerosis,Phase 3,2006-2010,25,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,11.1111,3.0000,2
Neurological disorder,Multiple Sclerosis,Phase 3,2006-2010,25,PERCENT CHANGE IN BRAIN VOLUME,0.0000,5.0000,5
Neurological disorder,Multiple Sclerosis,Phase 3,2011-2015,36,ANNUALIZED RELAPSE RATE,36.1310,1.0000,0
Neurological disorder,Multiple Sclerosis,Phase 3,2011-2015,36,CHANGE IN EDSS SCORE,27.5595,2.0000,1
Neurological disorder,Multiple Sclerosis,Phase 3,2011-2015,36,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,22.2222,3.0000,3
Neurological disorder,Multiple Sclerosis,Phase 3,2011-2015,36,PERCENT CHANGE IN BRAIN VOLUME,18.9881,4.0000,5
Neurological disorder,Multiple Sclerosis,Phase 3,2011-2015,36,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,15.8333,5.0000,2
Neurological disorder,Multiple Sclerosis,Phase 3,2016-2020,38,CHANGE IN EDSS SCORE,31.3393,1.0000,1
Neurological disorder,Multiple Sclerosis,Phase 3,2016-2020,38,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,26.6964,2.0000,2
Neurological disorder,Multiple Sclerosis,Phase 3,2016-2020,38,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,25.6250,3.0000,3
Neurological disorder,Multiple Sclerosis,Phase 3,2016-2020,38,ANNUALIZED RELAPSE RATE,25.2143,4.0000,0
Neurological disorder,Multiple Sclerosis,Phase 3,2016-2020,38,PERCENT CHANGE IN BRAIN VOLUME,21.6964,5.0000,5
Neurological disorder,Multiple Sclerosis,Phase 3,2021-2025,41,ANNUALIZED RELAPSE RATE,45.0000,1.0000,0
Neurological disorder,Multiple Sclerosis,Phase 3,2021-2025,41,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,30.7143,2.0000,2
Neurological disorder,Multiple Sclerosis,Phase 3,2021-2025,41,CHANGE IN EDSS SCORE,23.5714,3.0000,1
Neurological disorder,Multiple Sclerosis,Phase 3,2021-2025,41,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,23.2143,4.0000,3
Neurological disorder,Multiple Sclerosis,Phase 3,2021-2025,41,PERCENT CHANGE IN BRAIN VOLUME,16.6667,5.0000,5
Neurological disorder,Multiple Sclerosis,Phase 4,2006-2010,12,TIME TO FIRST RELAPSE,41.6667,1.0000,10
Neurological disorder,Multiple Sclerosis,Phase 4,2006-2010,12,CHANGE IN EDSS SCORE,33.3333,2.0000,1
Neurological disorder,Multiple Sclerosis,Phase 4,2006-2010,12,ANNUALIZED RELAPSE RATE,20.0000,3.0000,0
Neurological disorder,Multiple Sclerosis,Phase 4,2006-2010,12,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,4.0000,3
Neurological disorder,Multiple Sclerosis,Phase 4,2006-2010,12,CHANGE IN QUALITY OF LIFE SCORE,0.0000,4.0000,9
Neurological disorder,Multiple Sclerosis,Phase 4,2011-2015,26,CHANGE IN EDSS SCORE,50.7576,1.0000,1
Neurological disorder,Multiple Sclerosis,Phase 4,2011-2015,26,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,28.5714,2.0000,3
Neurological disorder,Multiple Sclerosis,Phase 4,2011-2015,26,CHANGE IN QUALITY OF LIFE SCORE,18.1818,3.0000,9
Neurological disorder,Multiple Sclerosis,Phase 4,2011-2015,26,TIME TO FIRST RELAPSE,9.0909,4.0000,10
Neurological disorder,Multiple Sclerosis,Phase 4,2011-2015,26,ANNUALIZED RELAPSE RATE,0.0000,5.0000,0
Neurological disorder,Multiple Sclerosis,Phase 4,2016-2020,25,CHANGE IN EDSS SCORE,60.0000,1.0000,1
Neurological disorder,Multiple Sclerosis,Phase 4,2016-2020,25,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,43.3333,2.0000,3
Neurological disorder,Multiple Sclerosis,Phase 4,2016-2020,25,CHANGE IN QUALITY OF LIFE SCORE,25.0000,3.0000,9
Neurological disorder,Multiple Sclerosis,Phase 4,2016-2020,25,ANNUALIZED RELAPSE RATE,25.0000,3.0000,0
Neurological disorder,Multiple Sclerosis,Phase 4,2016-2020,25,TIME TO FIRST RELAPSE,10.0000,5.0000,10
Neurological disorder,Multiple Sclerosis,Phase 4,2021-2025,23,CHANGE IN EDSS SCORE,64.2857,1.0000,1
Neurological disorder,Multiple Sclerosis,Phase 4,2021-2025,23,CHANGE IN QUALITY OF LIFE SCORE,58.3333,2.0000,9
Neurological disorder,Multiple Sclerosis,Phase 4,2021-2025,23,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,28.5714,3.0000,3
Neurological disorder,Multiple Sclerosis,Phase 4,2021-2025,23,TIME TO FIRST RELAPSE,28.5714,3.0000,10
Neurological disorder,Multiple Sclerosis,Phase 4,2021-2025,23,ANNUALIZED RELAPSE RATE,14.2857,5.0000,0
Neurological disorder,Myasthenia Gravis,Phase 1,2016-2020,2,OVERALL SURVIVAL,100.0000,1.0000,17
Neurological disorder,Myasthenia Gravis,Phase 1,2016-2020,2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,2.0000,2
Neurological disorder,Myasthenia Gravis,Phase 1,2016-2020,2,RADIOLIGAND UPTAKE,0.0000,2.0000,20
Neurological disorder,Myasthenia Gravis,Phase 1,2016-2020,2,UPTAKE OF [11C]MC1,0.0000,2.0000,21
Neurological disorder,Myasthenia Gravis,Phase 1,2016-2020,2,WHOLE BRAIN VOLUME OF DISTRIBUTION,0.0000,2.0000,22
Neurological disorder,Myasthenia Gravis,Phase 1,2021-2025,2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,100.0000,1.0000,2
Neurological disorder,Myasthenia Gravis,Phase 1,2021-2025,2,RADIOLIGAND UPTAKE,100.0000,1.0000,20
Neurological disorder,Myasthenia Gravis,Phase 1,2021-2025,2,UPTAKE OF [11C]MC1,100.0000,1.0000,21
Neurological disorder,Myasthenia Gravis,Phase 1,2021-2025,2,WHOLE BRAIN VOLUME OF DISTRIBUTION,100.0000,1.0000,22
Neurological disorder,Myasthenia Gravis,Phase 1,2021-2025,2,OVERALL SURVIVAL,0.0000,5.0000,17
Neurological disorder,Myasthenia Gravis,Phase 2,2006-2010,1,CHANGE FROM BASELINE IN MG-ADL SCORE,0.0000,1.0000,3
Neurological disorder,Myasthenia Gravis,Phase 2,2006-2010,1,CHANGE IN QMG SCORE,0.0000,1.0000,0
Neurological disorder,Myasthenia Gravis,Phase 2,2006-2010,1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,1.0000,2
Neurological disorder,Myasthenia Gravis,Phase 2,2006-2010,1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,1.0000,5
Neurological disorder,Myasthenia Gravis,Phase 2,2006-2010,1,CHANGE FROM BASELINE IN QMG SCORE,0.0000,1.0000,8
Neurological disorder,Myasthenia Gravis,Phase 2,2011-2015,8,CHANGE FROM BASELINE IN MG-ADL SCORE,50.0000,1.0000,3
Neurological disorder,Myasthenia Gravis,Phase 2,2011-2015,8,CHANGE IN QMG SCORE,50.0000,1.0000,0
Neurological disorder,Myasthenia Gravis,Phase 2,2011-2015,8,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,50.0000,1.0000,2
Neurological disorder,Myasthenia Gravis,Phase 2,2011-2015,8,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,4.0000,5
Neurological disorder,Myasthenia Gravis,Phase 2,2011-2015,8,CHANGE FROM BASELINE IN QMG SCORE,0.0000,4.0000,8
Neurological disorder,Myasthenia Gravis,Phase 2,2016-2020,16,CHANGE FROM BASELINE IN MG-ADL SCORE,50.0000,1.0000,3
Neurological disorder,Myasthenia Gravis,Phase 2,2016-2020,16,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,50.0000,1.0000,5
Neurological disorder,Myasthenia Gravis,Phase 2,2016-2020,16,CHANGE IN QMG SCORE,33.3333,3.0000,0
