outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
LENGTH OF HOSPITAL STAY,Sleep disorder,Insomnia,1,252,0.3968
LENGTH OF HOSPITAL STAY,Musculoskeletal disorder,Juvenile Idiopathic Arthritis,1,85,1.1765
LENGTH OF HOSPITAL STAY,Disorder of immune function,Lupus Nephritis,1,91,1.0989
LENGTH OF HOSPITAL STAY,Infection,Malaria,1,213,0.4695
LENGTH OF HOSPITAL STAY,Disorder of digestive system,Malnutrition,1,76,1.3158
LENGTH OF HOSPITAL STAY,Neoplastic disease,Melanoma,1,560,0.1786
LENGTH OF HOSPITAL STAY,Disorder of endocrine system,Metabolic Syndrome,1,285,0.3509
LENGTH OF HOSPITAL STAY,Neurological disorder,Migraine,1,470,0.2128
LENGTH OF HOSPITAL STAY,Disorder of body system,Multiple Organ Failure,1,50,2.0000
LENGTH OF HOSPITAL STAY,Disorder of digestive system,Nausea and Vomiting,1,133,0.7519
LENGTH OF HOSPITAL STAY,Neoplastic disease,Non-Small Cell Lung Cancer,1,944,0.1059
LENGTH OF HOSPITAL STAY,Neoplastic disease,Ovarian Cancer,1,373,0.2681
LENGTH OF HOSPITAL STAY,Neoplastic disease,Pancreatic Cancer,1,515,0.1942
LENGTH OF HOSPITAL STAY,Disorder of digestive system,Peptic Ulcer Disease,1,119,0.8403
LENGTH OF HOSPITAL STAY,Cardiovascular disease,Peripheral Artery Disease,1,332,0.3012
LENGTH OF HOSPITAL STAY,Disorder of skin,Pressure Ulcers,1,49,2.0408
LENGTH OF HOSPITAL STAY,Situation with explicit context,Preventive Care,1,274,0.3650
LENGTH OF HOSPITAL STAY,Disorder of skin,Psoriasis,1,645,0.1550
LENGTH OF HOSPITAL STAY,Disorder of eye,Retinal Vein Occlusion,1,355,0.2817
LENGTH OF HOSPITAL STAY,Disorder of immune function,Rheumatoid Arthritis,1,734,0.1362
LENGTH OF HOSPITAL STAY,Disorder of skin,Rosacea,1,414,0.2415
LENGTH OF HOSPITAL STAY,Mental illness,Schizophrenia,1,692,0.1445
LENGTH OF HOSPITAL STAY,Procedure,Screening,1,69,1.4493
LENGTH OF HOSPITAL STAY,Disorder of immune function,Sjögren's Syndrome,1,73,1.3699
LENGTH OF HOSPITAL STAY,Neoplastic disease,Small Cell Lung Cancer,1,505,0.1980
LENGTH OF HOSPITAL STAY,Mental illness,Social Anxiety Disorder,1,280,0.3571
LENGTH OF HOSPITAL STAY,Neurological disorder,Spinal Muscular Atrophy,1,199,0.5025
LENGTH OF HOSPITAL STAY,Disorder of haemostatic system,Venous Thromboembolism,1,240,0.4167
LENGTH OF ICU STAY,Infection,COVID-19,7,793,0.8827
LENGTH OF ICU STAY,Infection,Sepsis,4,164,2.4390
LENGTH OF ICU STAY,Mental illness,Delirium,3,132,2.2727
LENGTH OF ICU STAY,Clinical finding,Acute Pain,2,1010,0.1980
LENGTH OF ICU STAY,Cardiovascular disease,Aortic Stenosis,2,321,0.6231
LENGTH OF ICU STAY,Cardiovascular disease,Atrial Fibrillation,2,482,0.4149
LENGTH OF ICU STAY,Neurological disorder,Epilepsy,2,416,0.4808
LENGTH OF ICU STAY,Disorder of endocrine system,Gestational Diabetes,2,982,0.2037
LENGTH OF ICU STAY,Procedure,Mechanical Ventilation,2,191,1.0471
LENGTH OF ICU STAY,Disorder of the genitourinary system,Acute Kidney Injury,1,110,0.9091
LENGTH OF ICU STAY,Disorder of digestive system,Acute Pancreatitis,1,158,0.6329
LENGTH OF ICU STAY,Respiratory disease,Acute Respiratory Distress Syndrome,1,189,0.5291
LENGTH OF ICU STAY,Procedure,Blood Transfusion,1,204,0.4902
LENGTH OF ICU STAY,Respiratory disease,Bronchiectasis,1,255,0.3922
LENGTH OF ICU STAY,Injury,Burns,1,86,1.1628
LENGTH OF ICU STAY,Situation with explicit context,Critical Illness,1,74,1.3514
LENGTH OF ICU STAY,Disorder of endocrine system,Diabetic Nephropathy,1,69,1.4493
LENGTH OF ICU STAY,Disorder of the genitourinary system,Erectile Dysfunction,1,141,0.7092
LENGTH OF ICU STAY,Neoplastic disease,Esophageal Cancer,1,157,0.6369
LENGTH OF ICU STAY,Infection,Fungal Infection,1,203,0.4926
LENGTH OF ICU STAY,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
LENGTH OF ICU STAY,Cardiovascular disease,Myocardial Infarction,1,207,0.4831
LENGTH OF ICU STAY,Disorder of immune function,Organ Transplant Rejection,1,362,0.2762
LENGTH OF ICU STAY,Infection,Pneumonia,1,244,0.4098
LENGTH OF ICU STAY,Situation with explicit context,Preventive Care,1,274,0.3650
LENGTH OF ICU STAY,Respiratory disease,Pulmonary Embolism,1,68,1.4706
LENGTH OF ICU STAY,Cardiovascular disease,Shock,1,73,1.3699
LENGTH OF ICU STAY,Infection,Skin and Soft Tissue Infection,1,340,0.2941
LENGTH OF ICU STAY,Mental illness,Social Anxiety Disorder,1,280,0.3571
LENGTH OF ICU STAY,Procedure,Surgical Procedures,1,384,0.2604
LENGTH OF ICU STAY,Neurological disorder,Traumatic Brain Injury,1,208,0.4808
LENGTH OF STAY,Clinical finding,Acute Pain,7,1010,0.6931
LENGTH OF STAY,Respiratory disease,Neonatal Respiratory Distress,5,171,2.9240
LENGTH OF STAY,Disorder of digestive system,Acute Pancreatitis,3,158,1.8987
LENGTH OF STAY,Cardiovascular disease,Atrial Fibrillation,3,482,0.6224
LENGTH OF STAY,Musculoskeletal disorder,Bone Fracture,3,217,1.3825
LENGTH OF STAY,Respiratory disease,Acute Respiratory Distress Syndrome,2,189,1.0582
LENGTH OF STAY,Respiratory disease,Bronchiectasis,2,255,0.7843
LENGTH OF STAY,Cardiovascular disease,Coronary Artery Disease,2,662,0.3021
LENGTH OF STAY,Cardiovascular disease,Heart Failure,2,687,0.2911
LENGTH OF STAY,Neoplastic disease,Non-Small Cell Lung Cancer,2,944,0.2119
LENGTH OF STAY,Mental illness,Opioid Use Disorder,2,334,0.5988
LENGTH OF STAY,Blood disease,Sickle Cell Disease,2,177,1.1299
LENGTH OF STAY,Procedure,Surgical Procedures,2,384,0.5208
LENGTH OF STAY,Cardiovascular disease,Acute Coronary Syndrome,1,152,0.6579
LENGTH OF STAY,Respiratory disease,Allergic Asthma,1,265,0.3774
LENGTH OF STAY,Neurological disorder,Alzheimer's Disease,1,626,0.1597
LENGTH OF STAY,Cardiovascular disease,Aortic Stenosis,1,321,0.3115
LENGTH OF STAY,Neoplastic disease,Bladder Cancer,1,334,0.2994
LENGTH OF STAY,Infection,COVID-19,1,793,0.1261
LENGTH OF STAY,Neoplastic disease,Chronic Myeloid Leukemia,1,399,0.2506
LENGTH OF STAY,Respiratory disease,Chronic Obstructive Pulmonary Disease,1,849,0.1178
LENGTH OF STAY,Disorder of digestive system,Cirrhosis,1,167,0.5988
LENGTH OF STAY,Infection,Clostridium Difficile Infection,1,124,0.8065
LENGTH OF STAY,Neoplastic disease,Colorectal Cancer,1,556,0.1799
LENGTH OF STAY,Clinical finding,Edema,1,128,0.7812
LENGTH OF STAY,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
LENGTH OF STAY,Neurological disorder,Epilepsy,1,416,0.2404
LENGTH OF STAY,Musculoskeletal disorder,Fibromyalgia,1,246,0.4065
LENGTH OF STAY,Disorder of endocrine system,Gestational Diabetes,1,982,0.1018
LENGTH OF STAY,Disorder of skin,Hidradenitis Suppurativa,1,137,0.7299
LENGTH OF STAY,Mental illness,Major Depressive Disorder,1,1109,0.0902
LENGTH OF STAY,Neurological disorder,Migraine,1,470,0.2128
LENGTH OF STAY,Cardiovascular disease,Myocardial Infarction,1,207,0.4831
LENGTH OF STAY,Disorder of the genitourinary system,Nephrotic Syndrome,1,106,0.9434
LENGTH OF STAY,Disorder of immune function,Organ Transplant Rejection,1,362,0.2762
LENGTH OF STAY,Musculoskeletal disorder,Osteoarthritis,1,845,0.1183
LENGTH OF STAY,Infection,Osteomyelitis,1,162,0.6173
LENGTH OF STAY,Musculoskeletal disorder,Osteoporosis,1,441,0.2268
LENGTH OF STAY,Neoplastic disease,Ovarian Cancer,1,373,0.2681
LENGTH OF STAY,Injury,Overdose,1,55,1.8182
LENGTH OF STAY,Neurological disorder,Parkinson's Disease,1,545,0.1835
LENGTH OF STAY,Situation with explicit context,Pediatric Population,1,145,0.6897
LENGTH OF STAY,Situation with explicit context,Post-Operative Care,1,282,0.3546
LENGTH OF STAY,Mental illness,Postpartum Depression,1,190,0.5263
LENGTH OF STAY,Disorder of the genitourinary system,Preeclampsia,1,61,1.6393
LENGTH OF STAY,Disorder of labour / delivery,Preterm Labor,1,249,0.4016
LENGTH OF STAY,Situation with explicit context,Preventive Care,1,274,0.3650
LENGTH OF STAY,Disorder of immune function,Primary Immunodeficiency,1,147,0.6803
LENGTH OF STAY,Neoplastic disease,Renal Cell Carcinoma,1,337,0.2967
LENGTH OF STAY,Infection,Sexually Transmitted Infections,1,131,0.7634
LENGTH OF STAY,Disorder of digestive system,Short Bowel Syndrome,1,234,0.4274
LENGTH OF STAY,Mental illness,Social Anxiety Disorder,1,280,0.3571
LENGTH OF STAY,Neurological disorder,Trigeminal Neuralgia,1,252,0.3968
LENGTH OF STAY,Disorder of digestive system,Ulcerative Colitis,1,376,0.2660
MAXIMUM OBSERVED PLASMA CONCENTRATION,Situation with explicit context,Healthy Volunteers,21,2042,1.0284
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of endocrine system,Type 2 Diabetes,5,1369,0.3652
MAXIMUM OBSERVED PLASMA CONCENTRATION,Congenital disease,Phenylketonuria,3,69,4.3478
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Solid Tumors (Advanced),3,345,0.8696
MAXIMUM OBSERVED PLASMA CONCENTRATION,Respiratory disease,Asthma,2,737,0.2714
MAXIMUM OBSERVED PLASMA CONCENTRATION,Procedure,Bioequivalence Study,2,52,3.8462
MAXIMUM OBSERVED PLASMA CONCENTRATION,Respiratory disease,Chronic Obstructive Pulmonary Disease,2,849,0.2356
MAXIMUM OBSERVED PLASMA CONCENTRATION,Infection,Fungal Infection,2,203,0.9852
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Gastric Cancer,2,190,1.0526
MAXIMUM OBSERVED PLASMA CONCENTRATION,Infection,HIV/AIDS,2,1396,0.1433
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Hodgkin Lymphoma,2,469,0.4264
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Locally Advanced Cancer,2,572,0.3497
MAXIMUM OBSERVED PLASMA CONCENTRATION,Infection,Malaria,2,213,0.9390
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Non-Small Cell Lung Cancer,2,944,0.2119
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of the genitourinary system,Acute Kidney Injury,1,110,0.9091
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neurological disorder,Amyotrophic Lateral Sclerosis,1,170,0.5882
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Brain Tumors,1,505,0.1980
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Breast Cancer,1,1499,0.0667
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Chronic Lymphocytic Leukemia,1,198,0.5051
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of digestive system,Cirrhosis,1,167,0.5988
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of the genitourinary system,Erectile Dysfunction,1,141,0.7092
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of digestive system,Gastroesophageal Reflux Disease,1,145,0.6897
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of digestive system,Gastroparesis,1,143,0.6993
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of haemostatic system,Hemophilia A,1,167,0.5988
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of haemostatic system,Hemophilia B,1,76,1.3158
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Hepatocellular Carcinoma,1,321,0.3115
MAXIMUM OBSERVED PLASMA CONCENTRATION,Musculoskeletal disorder,Juvenile Idiopathic Arthritis,1,85,1.1765
MAXIMUM OBSERVED PLASMA CONCENTRATION,Congenital disease,Lysosomal Storage Disorders,1,179,0.5587
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neurological disorder,Multiple Sclerosis,1,495,0.2020
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of the genitourinary system,Nephrotic Syndrome,1,106,0.9434
MAXIMUM OBSERVED PLASMA CONCENTRATION,Mental illness,Opioid Use Disorder,1,334,0.2994
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Prostate Cancer,1,906,0.1104
MAXIMUM OBSERVED PLASMA CONCENTRATION,Disorder of skin,Psoriasis,1,645,0.1550
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Recurrent Cancer,1,444,0.2252
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Renal Cell Carcinoma,1,337,0.2967
MAXIMUM OBSERVED PLASMA CONCENTRATION,Neoplastic disease,Sarcoma,1,246,0.4065
MAXIMUM OBSERVED PLASMA CONCENTRATION,Mental illness,Schizophrenia,1,692,0.1445
MAXIMUM OBSERVED PLASMA CONCENTRATION,Mental illness,Smoking Cessation,1,741,0.1350
MAXIMUM OBSERVED PLASMA CONCENTRATION,Infection,Tuberculosis,1,151,0.6623
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Solid Tumors (Advanced),16,345,4.6377
MAXIMUM OBSERVED SERUM CONCENTRATION,Situation with explicit context,Healthy Volunteers,13,2042,0.6366
MAXIMUM OBSERVED SERUM CONCENTRATION,Respiratory disease,Asthma,9,737,1.2212
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Non-Small Cell Lung Cancer,8,944,0.8475
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of immune function,Rheumatoid Arthritis,7,734,0.9537
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Solid Tumors General,7,252,2.7778
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Brain Tumors,6,505,1.1881
MAXIMUM OBSERVED SERUM CONCENTRATION,Infection,HIV/AIDS,6,1396,0.4298
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Locally Advanced Cancer,6,572,1.0490
MAXIMUM OBSERVED SERUM CONCENTRATION,Musculoskeletal disorder,Osteoporosis,5,441,1.1338
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Hepatocellular Carcinoma,4,321,1.2461
MAXIMUM OBSERVED SERUM CONCENTRATION,Neurological disorder,Alzheimer's Disease,3,626,0.4792
MAXIMUM OBSERVED SERUM CONCENTRATION,Blood disease,Anemia,3,312,0.9615
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Gastric Cancer,3,190,1.5789
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Hodgkin Lymphoma,3,469,0.6397
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Melanoma,3,560,0.5357
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of immune function,Organ Transplant Rejection,3,362,0.8287
MAXIMUM OBSERVED SERUM CONCENTRATION,Infection,Pneumonia,3,244,1.2295
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Acute Lymphoblastic Leukemia,2,364,0.5495
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of skin,Atopic Dermatitis,2,502,0.3984
MAXIMUM OBSERVED SERUM CONCENTRATION,Infection,COVID-19,2,793,0.2522
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Diffuse Large B-Cell Lymphoma,2,221,0.9050
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Hematologic Malignancies General,2,160,1.2500
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of skin,Hidradenitis Suppurativa,2,137,1.4599
MAXIMUM OBSERVED SERUM CONCENTRATION,Congenital disease,Lysosomal Storage Disorders,2,179,1.1173
MAXIMUM OBSERVED SERUM CONCENTRATION,Infection,Malaria,2,213,0.9390
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Multiple Myeloma,2,573,0.3490
MAXIMUM OBSERVED SERUM CONCENTRATION,Neurological disorder,Multiple Sclerosis,2,495,0.4040
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Prostate Cancer,2,906,0.2208
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of skin,Psoriasis,2,645,0.3101
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Recurrent Cancer,2,444,0.4505
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Renal Cell Carcinoma,2,337,0.5935
MAXIMUM OBSERVED SERUM CONCENTRATION,Infection,Respiratory Syncytial Virus,2,284,0.7042
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of endocrine system,Type 2 Diabetes,2,1369,0.1461
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of endocrine system,Acromegaly,1,72,1.3889
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of eye,Age-Related Macular Degeneration,1,253,0.3953
MAXIMUM OBSERVED SERUM CONCENTRATION,Neurological disorder,Amyotrophic Lateral Sclerosis,1,170,0.5882
MAXIMUM OBSERVED SERUM CONCENTRATION,Cardiovascular disease,Atherosclerosis,1,254,0.3937
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of body system,Cachexia,1,50,2.0000
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Cancer Immunotherapy,1,295,0.3390
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Cervical Cancer,1,269,0.3717
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Chronic Lymphocytic Leukemia,1,198,0.5051
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Chronic Myeloid Leukemia,1,399,0.2506
MAXIMUM OBSERVED SERUM CONCENTRATION,Cardiovascular disease,Coronary Artery Disease,1,662,0.1511
MAXIMUM OBSERVED SERUM CONCENTRATION,Cardiovascular disease,Familial Hypercholesterolemia,1,257,0.3891
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Follicular Lymphoma,1,209,0.4785
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Glioblastoma,1,386,0.2591
MAXIMUM OBSERVED SERUM CONCENTRATION,Cardiovascular disease,Heart Failure,1,687,0.1456
MAXIMUM OBSERVED SERUM CONCENTRATION,Respiratory disease,Idiopathic Pulmonary Fibrosis,1,170,0.5882
MAXIMUM OBSERVED SERUM CONCENTRATION,Blood disease,Immune Thrombocytopenia,1,74,1.3514
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of digestive system,Inflammatory Bowel Disease,1,101,0.9901
MAXIMUM OBSERVED SERUM CONCENTRATION,Sleep disorder,Insomnia,1,252,0.3968
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of immune function,Lupus Nephritis,1,91,1.0989
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of ear,Meniere's Disease,1,98,1.0204
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of endocrine system,Menopause Symptoms,1,125,0.8000
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Metastatic Disease,1,366,0.2732
MAXIMUM OBSERVED SERUM CONCENTRATION,Neurological disorder,Migraine,1,470,0.2128
MAXIMUM OBSERVED SERUM CONCENTRATION,Blood disease,Myelodysplastic Syndromes,1,297,0.3367
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of the genitourinary system,Nephrotic Syndrome,1,106,0.9434
MAXIMUM OBSERVED SERUM CONCENTRATION,Blood disease,Neutropenia,1,47,2.1277
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of endocrine system,Obesity,1,811,0.1233
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Pancreatic Cancer,1,515,0.1942
MAXIMUM OBSERVED SERUM CONCENTRATION,Neurological disorder,Parkinson's Disease,1,545,0.1835
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of the genitourinary system,Polycystic Kidney Disease,1,61,1.6393
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of immune function,Primary Immunodeficiency,1,147,0.6803
MAXIMUM OBSERVED SERUM CONCENTRATION,Respiratory disease,Pulmonary Arterial Hypertension,1,280,0.3571
MAXIMUM OBSERVED SERUM CONCENTRATION,Respiratory disease,Severe Asthma,1,35,2.8571
MAXIMUM OBSERVED SERUM CONCENTRATION,Neoplastic disease,Small Cell Lung Cancer,1,505,0.1980
MAXIMUM OBSERVED SERUM CONCENTRATION,Disorder of immune function,Systemic Lupus Erythematosus,1,155,0.6452
MAXIMUM OBSERVED SERUM CONCENTRATION,Infection,Tuberculosis,1,151,0.6623
MAXIMUM OBSERVED SERUM CONCENTRATION,Situation with explicit context,Vaccination,1,105,0.9524
MAXIMUM PLASMA CONCENTRATION,Situation with explicit context,Healthy Volunteers,928,2042,45.4456
MAXIMUM PLASMA CONCENTRATION,Infection,HIV/AIDS,120,1396,8.5960
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Solid Tumors (Advanced),110,345,31.8841
MAXIMUM PLASMA CONCENTRATION,Disorder of endocrine system,Type 2 Diabetes,102,1369,7.4507
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Solid Tumors General,86,252,34.1270
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Non-Small Cell Lung Cancer,82,944,8.6864
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Brain Tumors,65,505,12.8713
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Locally Advanced Cancer,65,572,11.3636
MAXIMUM PLASMA CONCENTRATION,Situation with explicit context,Drug-Drug Interaction,62,207,29.9517
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Breast Cancer,59,1499,3.9360
MAXIMUM PLASMA CONCENTRATION,Infection,Hepatitis C,59,658,8.9666
MAXIMUM PLASMA CONCENTRATION,Respiratory disease,Chronic Obstructive Pulmonary Disease,56,849,6.5960
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Multiple Myeloma,53,573,9.2496
MAXIMUM PLASMA CONCENTRATION,Disorder of digestive system,Cirrhosis,44,167,26.3473
MAXIMUM PLASMA CONCENTRATION,Mental illness,Schizophrenia,41,692,5.9249
MAXIMUM PLASMA CONCENTRATION,Respiratory disease,Asthma,38,737,5.1560
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Acute Myeloid Leukemia,37,369,10.0271
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Hodgkin Lymphoma,36,469,7.6759
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Ovarian Cancer,36,373,9.6515
MAXIMUM PLASMA CONCENTRATION,Disorder of immune function,Rheumatoid Arthritis,35,734,4.7684
MAXIMUM PLASMA CONCENTRATION,Neurological disorder,Epilepsy,33,416,7.9327
MAXIMUM PLASMA CONCENTRATION,Neurological disorder,Parkinson's Disease,31,545,5.6881
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Prostate Cancer,31,906,3.4216
MAXIMUM PLASMA CONCENTRATION,Clinical finding,Acute Pain,30,1010,2.9703
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Melanoma,30,560,5.3571
MAXIMUM PLASMA CONCENTRATION,Disorder of skin,Psoriasis,30,645,4.6512
MAXIMUM PLASMA CONCENTRATION,Disorder of haemostatic system,Hemophilia A,28,167,16.7665
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Acute Lymphoblastic Leukemia,27,364,7.4176
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Cancer Immunotherapy,27,295,9.1525
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Glioblastoma,27,386,6.9948
MAXIMUM PLASMA CONCENTRATION,Mental illness,Major Depressive Disorder,27,1109,2.4346
MAXIMUM PLASMA CONCENTRATION,Infection,Malaria,26,213,12.2066
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Recurrent Cancer,26,444,5.8559
MAXIMUM PLASMA CONCENTRATION,Procedure,Bioequivalence Study,25,52,48.0769
MAXIMUM PLASMA CONCENTRATION,Blood disease,Anemia,24,312,7.6923
MAXIMUM PLASMA CONCENTRATION,Blood disease,Myelodysplastic Syndromes,24,297,8.0808
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Hepatocellular Carcinoma,23,321,7.1651
MAXIMUM PLASMA CONCENTRATION,Cardiovascular disease,Hypertension,23,614,3.7459
MAXIMUM PLASMA CONCENTRATION,Infection,Skin and Soft Tissue Infection,23,340,6.7647
MAXIMUM PLASMA CONCENTRATION,Disorder of the genitourinary system,Acute Kidney Injury,22,110,20.0000
MAXIMUM PLASMA CONCENTRATION,Neurological disorder,Alzheimer's Disease,21,626,3.3546
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Chronic Myeloid Leukemia,21,399,5.2632
MAXIMUM PLASMA CONCENTRATION,Respiratory disease,Cystic Fibrosis,21,320,6.5625
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Diffuse Large B-Cell Lymphoma,21,221,9.5023
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Metastatic Disease,21,366,5.7377
MAXIMUM PLASMA CONCENTRATION,Respiratory disease,Pulmonary Arterial Hypertension,21,280,7.5000
MAXIMUM PLASMA CONCENTRATION,Disorder of digestive system,Nonalcoholic Fatty Liver Disease,20,235,8.5106
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Colorectal Cancer,19,556,3.4173
MAXIMUM PLASMA CONCENTRATION,Disorder of the genitourinary system,End-Stage Renal Disease,19,226,8.4071
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Follicular Lymphoma,19,209,9.0909
MAXIMUM PLASMA CONCENTRATION,Infection,Fungal Infection,19,203,9.3596
MAXIMUM PLASMA CONCENTRATION,Mental illness,Smoking Cessation,19,741,2.5641
MAXIMUM PLASMA CONCENTRATION,Infection,Tuberculosis,19,151,12.5828
MAXIMUM PLASMA CONCENTRATION,Disorder of the genitourinary system,Chronic Kidney Disease,18,337,5.3412
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Hematologic Malignancies General,18,160,11.2500
MAXIMUM PLASMA CONCENTRATION,Infection,Hepatitis B,18,266,6.7669
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Pancreatic Cancer,18,515,3.4951
MAXIMUM PLASMA CONCENTRATION,Infection,COVID-19,17,793,2.1438
MAXIMUM PLASMA CONCENTRATION,Disorder of endocrine system,Gestational Diabetes,17,982,1.7312
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Small Cell Lung Cancer,17,505,3.3663
MAXIMUM PLASMA CONCENTRATION,Disorder of endocrine system,Type 1 Diabetes,17,599,2.8381
MAXIMUM PLASMA CONCENTRATION,Disorder of skin,Atopic Dermatitis,16,502,3.1873
MAXIMUM PLASMA CONCENTRATION,Neoplastic disease,Renal Cell Carcinoma,16,337,4.7478
MAXIMUM PLASMA CONCENTRATION,Neurological disorder,Duchenne Muscular Dystrophy,15,159,9.4340
MAXIMUM PLASMA CONCENTRATION,Cardiovascular disease,Heart Failure,15,687,2.1834
MAXIMUM PLASMA CONCENTRATION,Disorder of immune function,Systemic Lupus Erythematosus,15,155,9.6774
