outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
30-DAY MORTALITY,Cardiovascular disease,Ventricular Arrhythmias,1,159,0.6289
6-MINUTE WALK DISTANCE,Cardiovascular disease,Heart Failure,21,687,3.0568
6-MINUTE WALK DISTANCE,Musculoskeletal disorder,Osteoarthritis,18,845,2.1302
6-MINUTE WALK DISTANCE,Respiratory disease,Pulmonary Arterial Hypertension,15,280,5.3571
6-MINUTE WALK DISTANCE,Respiratory disease,Chronic Obstructive Pulmonary Disease,12,849,1.4134
6-MINUTE WALK DISTANCE,Neurological disorder,Stroke,10,607,1.6474
6-MINUTE WALK DISTANCE,Cardiovascular disease,Peripheral Artery Disease,8,332,2.4096
6-MINUTE WALK DISTANCE,Cardiovascular disease,Mitral Regurgitation,7,94,7.4468
6-MINUTE WALK DISTANCE,Disorder of endocrine system,Obesity,6,811,0.7398
6-MINUTE WALK DISTANCE,Neurological disorder,Multiple Sclerosis,5,495,1.0101
6-MINUTE WALK DISTANCE,Neurological disorder,Duchenne Muscular Dystrophy,4,159,2.5157
6-MINUTE WALK DISTANCE,Disorder of immune function,Organ Transplant Rejection,4,362,1.1050
6-MINUTE WALK DISTANCE,Neurological disorder,Spinal Cord Injury,4,294,1.3605
6-MINUTE WALK DISTANCE,Neurological disorder,Spinal Muscular Atrophy,4,199,2.0101
6-MINUTE WALK DISTANCE,Infection,COVID-19,3,793,0.3783
6-MINUTE WALK DISTANCE,Cardiovascular disease,Cardiomyopathy,3,126,2.3810
6-MINUTE WALK DISTANCE,Musculoskeletal disorder,Fibromyalgia,3,246,1.2195
6-MINUTE WALK DISTANCE,Neurological disorder,Parkinson's Disease,3,545,0.5505
6-MINUTE WALK DISTANCE,Disorder of immune function,Sarcoidosis,3,164,1.8293
6-MINUTE WALK DISTANCE,Cardiovascular disease,Acute Coronary Syndrome,2,152,1.3158
6-MINUTE WALK DISTANCE,Cardiovascular disease,Aortic Stenosis,2,321,0.6231
6-MINUTE WALK DISTANCE,Cardiovascular disease,Atrial Fibrillation,2,482,0.4149
6-MINUTE WALK DISTANCE,Neurological disorder,Chronic Pain,2,322,0.6211
6-MINUTE WALK DISTANCE,Cardiovascular disease,Coronary Artery Disease,2,662,0.3021
6-MINUTE WALK DISTANCE,Disorder of endocrine system,Gestational Diabetes,2,982,0.2037
