disease_domain,outcome_category,observed_endpoint_domain_records,expected_under_independence,within_domain_pct,standardized_residual,residual_flag
Injury,Mortality,71,41.030681,2.341689,4.678671,overrepresented
Clinical finding,Mental Health Outcomes,698,590.067210,5.963773,4.443270,overrepresented
Disorder of body system,Quality of Life/PRO,185,134.172216,13.868066,4.388033,overrepresented
Situation with explicit context,Mental Health Outcomes,1590,1429.087931,5.609257,4.256564,overrepresented
Disorder of body system,Hospitalization/Healthcare Use,58,34.796034,4.347826,3.933665,overrepresented
Infection,Biomarkers/Lab Values,7986,7653.957291,14.695545,3.795342,overrepresented
Procedure,Mortality,196,150.130073,1.766721,3.743641,overrepresented
Disorder of ear,Microbiological/Virological,45,26.150361,1.641737,3.686075,overrepresented
Disorder of haemostatic system,Hospitalization/Healthcare Use,269,217.488256,3.226193,3.492918,overrepresented
Disorder of haemostatic system,Other Clinical Endpoints,114,84.046762,1.367234,3.267257,overrepresented
Disorder of body system,Biomarkers/Lab Values,228,187.887658,17.091454,2.926368,overrepresented
Cardiovascular disease,Functional Status,1849,1739.170902,5.196594,2.633579,overrepresented
Blood disease,Pharmacokinetics,973,898.136832,8.168234,2.498026,overrepresented
Respiratory disease,Treatment Adherence,881,821.857983,2.989075,2.062993,overrepresented
Neoplastic disease,Mortality,1393,1323.212413,1.424627,1.918507,not_large
Injury,Symptoms/Pain,238,211.869482,7.849604,1.795204,not_large
Procedure,Functional Status,579,542.265872,5.219037,1.577479,not_large
Clinical finding,Adverse Events/Safety,1739,1675.316557,14.858168,1.555887,not_large
Disorder of body system,Treatment Adherence,46,37.197481,3.448276,1.443279,not_large
Injury,Adverse Events/Safety,463,434.002033,15.270449,1.391944,not_large
Disorder of haemostatic system,Disease Control,185,167.737205,2.218757,1.332896,not_large
Infection,Remission/Cure,347,324.349745,0.638537,1.257669,not_large
Procedure,Dose-Finding,49,41.009215,0.441680,1.247811,not_large
Musculoskeletal disorder,Immunogenicity,698,667.230290,2.984436,1.191202,not_large
Procedure,Microbiological/Virological,116,105.841701,1.045610,0.987399,not_large
Sleep disorder,Functional Status,310,294.497195,5.145228,0.903378,not_large
Blood disease,Remission/Cure,78,71.097550,0.654802,0.818608,not_large
Disorder of body system,Mortality,21,18.052417,1.574213,0.693743,not_large
Disorder of endocrine system,Other Clinical Endpoints,463,448.336757,1.040964,0.692513,not_large
Disorder of labour / delivery,Treatment Adherence,77,71.578661,2.999610,0.640789,not_large
Disorder of body system,Imaging Outcomes,46,42.218903,3.448276,0.581921,not_large
Disorder of the genitourinary system,Adverse Events/Safety,3015,2989.919022,14.434125,0.458685,not_large
Disorder of body system,Other Clinical Endpoints,15,13.446676,1.124438,0.423599,not_large
Procedure,Imaging Outcomes,359,351.106831,3.235983,0.421242,not_large
Disorder of eye,Other Clinical Endpoints,161,156.047964,1.039984,0.396419,not_large
Disorder of immune function,Dose-Finding,95,91.429774,0.384087,0.373381,not_large
Disorder of digestive system,Pharmacokinetics,1780,1775.539309,7.558707,0.105861,not_large
Disorder of immune function,Adverse Events/Safety,3546,3540.437432,14.336541,0.093486,not_large
Disorder of the genitourinary system,Dose-Finding,77,77.212951,0.368633,-0.024234,not_large
Situation with explicit context,Hospitalization/Healthcare Use,738,739.376602,2.603542,-0.050626,not_large
Congenital disease,Vital Signs/Physical Measures,117,117.846290,5.340027,-0.077958,not_large
Disorder of endocrine system,Dose-Finding,163,164.413904,0.366473,-0.110268,not_large
Disorder of ear,Hospitalization/Healthcare Use,69,71.496199,2.517329,-0.295215,not_large
Disorder of labour / delivery,Microbiological/Virological,23,24.490323,0.895988,-0.301150,not_large
Disorder of ear,Remission/Cure,15,16.359838,0.547246,-0.336200,not_large
Procedure,Quality of Life/PRO,1102,1115.822011,9.933297,-0.413784,not_large
Procedure,Treatment Adherence,302,309.346966,2.722192,-0.417720,not_large
Congenital disease,Immunogenicity,59,62.506480,2.692834,-0.443516,not_large
Sleep disorder,Other Clinical Endpoints,57,60.731799,0.946058,-0.478862,not_large
Disorder of ear,Disease Control,50,55.141242,1.824152,-0.692357,not_large
Disorder of immune function,Mortality,322,334.714009,1.301852,-0.694937,not_large
Disorder of endocrine system,Treatment Adherence,1207,1240.232048,2.713701,-0.943638,not_large
Clinical finding,Dose-Finding,37,43.264093,0.316131,-0.952345,not_large
Disorder of digestive system,Response Rates,1392,1428.222285,5.911079,-0.958469,not_large
Clinical finding,Vital Signs/Physical Measures,605,629.517561,5.169173,-0.977177,not_large
Musculoskeletal disorder,Hospitalization/Healthcare Use,583,610.052211,2.492731,-1.095265,not_large
Disorder of labour / delivery,Survival/Time-to-Event,123,136.739924,4.791586,-1.174997,not_large
Disorder of haemostatic system,Dose-Finding,24,30.821600,0.287839,-1.228736,not_large
Disorder of body system,Dose-Finding,2,4.931160,0.149925,-1.319973,not_large
Clinical finding,Treatment Adherence,301,326.356308,2.571770,-1.403589,not_large
Congenital disease,Dose-Finding,4,8.099080,0.182565,-1.440352,not_large
Blood disease,Disease Control,217,239.636074,1.821692,-1.462261,not_large
Disorder of immune function,Immunogenicity,666,705.629981,2.692650,-1.491885,not_large
Situation with explicit context,Vital Signs/Physical Measures,1466,1524.633013,5.171806,-1.501618,not_large
Disorder of labour / delivery,Disease Control,40,51.640850,1.558239,-1.619899,not_large
Disorder of body system,Symptoms/Pain,77,93.216982,5.772114,-1.679664,not_large
Infection,Other Clinical Endpoints,508,547.775629,0.934803,-1.699479,not_large
Disorder of body system,Remission/Cure,3,7.962066,0.224888,-1.758529,not_large
Disorder of immune function,Imaging Outcomes,733,782.790368,2.963532,-1.779601,not_large
Disorder of haemostatic system,Remission/Cure,37,49.765898,0.443751,-1.809612,not_large
Respiratory disease,Biomarkers/Lab Values,4033,4151.274997,13.683246,-1.835702,not_large
Disorder of immune function,Quality of Life/PRO,2396,2487.717832,9.687070,-1.838879,not_large
Disorder of skin,Remission/Cure,90,109.564954,0.490276,-1.869145,not_large
Disorder of digestive system,Other Clinical Endpoints,208,237.373135,0.883265,-1.906490,not_large
Disorder of digestive system,Microbiological/Virological,196,224.667949,0.832307,-1.912608,not_large
Disorder of body system,Disease Activity Scores,23,34.791284,1.724138,-1.999060,underrepresented
Sleep disorder,Disease Activity Scores,131,157.134546,2.174274,-2.084871,underrepresented
Clinical finding,Functional Status,522,572.082185,4.460014,-2.093891,underrepresented
Disorder of labour / delivery,Dose-Finding,3,9.488972,0.116868,-2.106524,underrepresented
Disorder of immune function,Disease Control,450,497.578799,1.819358,-2.132959,underrepresented
Congenital disease,Mortality,18,29.649810,0.821543,-2.139478,underrepresented
Disorder of body system,Microbiological/Virological,5,12.726954,0.374813,-2.165938,underrepresented
Musculoskeletal disorder,Remission/Cure,114,139.592806,0.487429,-2.166139,underrepresented
Disorder of the genitourinary system,Imaging Outcomes,605,661.070802,2.896400,-2.180785,underrepresented
Clinical finding,Other Clinical Endpoints,93,117.975930,0.794600,-2.299455,underrepresented
Injury,Remission/Cure,8,18.096690,0.263852,-2.373447,underrepresented
Disorder of the genitourinary system,Vital Signs/Physical Measures,1041,1123.493064,4.983723,-2.461117,underrepresented
Disorder of the genitourinary system,Mortality,241,282.667835,1.153773,-2.478351,underrepresented
Disorder of ear,Dose-Finding,2,10.132167,0.072966,-2.554789,underrepresented
Disorder of haemostatic system,Microbiological/Virological,56,79.548234,0.671624,-2.640238,underrepresented
Disorder of body system,Disease Control,13,26.836343,0.974513,-2.670913,underrepresented
Situation with explicit context,Microbiological/Virological,225,270.433465,0.793763,-2.762776,underrepresented
Blood disease,Hospitalization/Healthcare Use,261,310.712414,2.191068,-2.820237,underrepresented
Disorder of ear,Mental Health Outcomes,105,138.189869,3.830719,-2.823368,underrepresented
Cardiovascular disease,Treatment Adherence,902,992.146600,2.535061,-2.861946,underrepresented
Disorder of haemostatic system,Biomarkers/Lab Values,1075,1174.368288,12.892780,-2.899650,underrepresented
Disorder of ear,Adverse Events/Safety,334,392.348144,12.185334,-2.945719,underrepresented
Clinical finding,Immunogenicity,280,333.900433,2.392344,-2.949740,underrepresented
Disorder of ear,Treatment Adherence,50,76.430506,1.824152,-3.023236,underrepresented
Congenital disease,Disease Control,24,44.076783,1.095390,-3.024051,underrepresented
Injury,Dose-Finding,1,11.207855,0.032982,-3.049111,underrepresented
Respiratory disease,Pharmacokinetics,2076,2222.270398,7.043496,-3.102830,underrepresented
Disorder of immune function,Functional Status,1098,1208.978193,4.439233,-3.191747,underrepresented
Sleep disorder,Dose-Finding,7,22.271545,0.116183,-3.235995,underrepresented
Congenital disease,Remission/Cure,1,13.077127,0.045641,-3.339700,underrepresented
Injury,Disease Control,34,60.995347,1.121372,-3.456532,underrepresented
Disorder of labour / delivery,Symptoms/Pain,131,179.376306,5.103233,-3.612020,underrepresented
Situation with explicit context,Functional Status,1251,1385.529872,4.413321,-3.614188,underrepresented
Disorder of labour / delivery,Imaging Outcomes,48,81.241323,1.869887,-3.687991,underrepresented
Injury,Microbiological/Virological,9,28.926630,0.296834,-3.704972,underrepresented
Blood disease,Other Clinical Endpoints,79,120.072563,0.663197,-3.748262,underrepresented
Disorder of the genitourinary system,Pharmacokinetics,1425,1574.906157,6.822099,-3.777393,underrepresented
Disorder of labour / delivery,Functional Status,83,125.472913,3.233346,-3.791727,underrepresented
Congenital disease,Adverse Events/Safety,246,313.620863,11.227750,-3.818372,underrepresented
Congenital disease,Other Clinical Endpoints,4,22.085207,0.182565,-3.848334,underrepresented
Disorder of haemostatic system,Imaging Outcomes,201,263.883969,2.410650,-3.871092,underrepresented
Disorder of labour / delivery,Remission/Cure,0,15.321307,0.000000,-3.914244,underrepresented
Infection,Response Rates,3070,3295.846261,5.649302,-3.933955,underrepresented
Disorder of the genitourinary system,Remission/Cure,80,124.671392,0.382995,-4.000793,underrepresented
Disorder of haemostatic system,Treatment Adherence,171,232.498197,2.050852,-4.033226,underrepresented
Congenital disease,Hospitalization/Healthcare Use,26,57.150008,1.186673,-4.120501,underrepresented
Congenital disease,Microbiological/Virological,2,20.903116,0.091283,-4.134547,underrepresented
Injury,Vital Signs/Physical Measures,110,163.080763,3.627968,-4.156577,underrepresented
Disorder of digestive system,Imaging Outcomes,631,745.287070,2.679519,-4.186348,underrepresented
Infection,Disease Control,951,1093.228944,1.749995,-4.301624,underrepresented
Disorder of skin,Microbiological/Virological,118,175.133956,0.642807,-4.317269,underrepresented
Sleep disorder,Remission/Cure,10,35.960606,0.165975,-4.329137,underrepresented
Neoplastic disease,Remission/Cure,476,583.606317,0.486807,-4.454283,underrepresented
Respiratory disease,Microbiological/Virological,205,281.195088,0.695528,-4.543841,underrepresented
Disorder of immune function,Treatment Adherence,570,689.687024,2.304520,-4.557441,underrepresented
Disorder of eye,Treatment Adherence,334,431.674813,2.157483,-4.701151,underrepresented
